ORF,AA01_3D7,AA02_3D7,AA03_3D7,AA04_3D7,AA05_3D7,AA06_3D7,AA07_3D7,AA08_3D7,AA09_3D7,AA10_3D7,AA11_3D7,AA12_3D7,AA13_3D7,AA14_3D7,AA15_3D7,AA16_3D7,AS01_3D7,AS02_3D7,AS03_3D7,AS04_3D7,AS05_3D7,AS06_3D7,AS07_3D7,AS08_3D7,AS09_3D7,AS10_3D7,AS11_3D7,AS12_3D7,AS13_3D7,AS14_3D7,AS15_3D7,AS16_3D7,AA01_FUP,AA02_FUP,AA03_FUP,AA04_FUP,AA05_FUP,AA06_FUP,AA07_FUP,AA08_FUP,AA09_FUP,AA10_FUP,AA11_FUP,AA12_FUP,AA13_FUP,AA14_FUP,AA15_FUP,AA16_FUP,AS01_FUP,AS02_FUP,AS03_FUP,AS04_FUP,AS05_FUP,AS06_FUP,AS07_FUP,AS08_FUP,AS09_FUP,AS10_FUP,AS11_FUP,AS12_FUP,AS13_FUP,AS14_FUP,AS15_FUP,AS16_FUP
PF3D7_1135700,261.6155495,48.1941835,230.5750135,143.947406,349.137755,174.7953615,221.9638475,188.5516935,114.6494165,100.3061925,191.598225,155.541021,143.5243375,197.09997,325.0419735,308.4779885,52.649814,141.265055,126.0767265,163.893124,120.5602225,336.750028,169.2331115,287.156258,113.206826,153.8315535,148.2099465,163.1349765,167.282393,192.2868285,325.9058005,429.890337,147.512342,205.32757,328.391015,330.1665105,324.1529755,373.543784,358.062025,478.071423,585.2529975,670.2732875,734.7568705,732.9477675,627.4685345,367.3480895,327.392849,237.446291,147.7978555,255.631303,240.275687,435.6751945,352.7137595,406.4224505,360.0180815,388.59958,605.8855795,724.24734,673.3700945,675.1821015,562.887886,499.5752435,527.618777,438.094468
PF3D7_1135800,24.9380395,26.5929025,33.688017,44.630223,52.642257,58.1432425,41.139457,46.156513,39.731214,42.0546715,61.873844,67.2897045,47.9212315,38.5816185,51.101929,41.7251025,20.102167,35.0521295,47.803621,52.241273,48.696629,72.5413,57.170873,47.0021635,45.4518015,52.739167,55.2671395,55.6746205,57.8874785,38.093711,54.8803255,44.2882925,8.1145485,31.224783,63.274781,52.1101175,70.48988,68.977492,58.5415715,67.4340545,77.1142655,59.6391335,54.0330985,55.2271675,46.912828,21.20995,16.9704525,11.892015,9.813663,33.614727,51.0173055,58.608639,73.5609245,74.5445655,78.021222,77.44149,66.3258315,77.3971665,64.390123,59.983257,48.1250845,40.946344,39.7872835,47.0310165
PF3D7_1135900,44.4929455,43.156893,70.0916035,82.7560315,106.39489,91.589959,107.3610205,97.0397535,99.7746335,90.42655,80.646073,80.929854,121.645295,153.8433185,284.69703,367.6656435,33.6802335,59.671771,69.458031,84.5532585,87.083822,117.137832,99.328616,123.1288515,113.42868,106.083884,86.2557905,86.302813,106.330972,129.176486,266.19189,202.378711,13.216138,41.3505575,72.8248265,98.096255,111.27076,122.6469405,120.402484,61.788137,35.839723,36.7837575,49.6695805,99.304653,162.073583,527.004221,643.4141385,643.427378,15.6127625,43.1742255,68.7462075,96.726278,103.949979,119.446789,109.4606695,75.7131685,56.2747785,49.606155,43.930209,69.8355095,113.0214445,330.3560835,397.488468,476.4971145
PF3D7_1136000,1.4896635,0.9654045,0.9953805,1.085721,1.605357,1.1159865,1.0035015,1.467354,1.7644685,1.4990625,2.2340725,2.343044,3.272574,5.260818,16.4855545,21.1780365,0.9644035,1.2762715,1.230762,1.1709575,1.072385,1.7936565,1.3804085,2.2062425,2.170197,1.9876925,2.227346,2.360671,3.952098,4.753764,10.494762,25.6708735,0.198007,0.303901,0.6063285,0.4877555,0.3989235,0.323924,0.2881905,0.25165,0.3687865,0.3799435,0.9945455,2.507792,4.593564,19.2354205,27.2915095,26.545893,0.3016235,0.347191,0.473665,0.7233785,0.497609,0.499328,0.314889,0.376385,0.7286255,0.7616915,0.9700155,1.800988,3.0821885,10.3065815,13.9333795,22.113946
PF3D7_1136100,0.103112,0.233192,0.095622,0.1963835,0.096515,0.172695,0.2446845,0.1926625,0.1960985,0.232536,0.3918385,0.6631405,1.0183655,1.0620345,1.286273,0.8528885,0.17214,0.232837,0.2683375,0.3103535,0.3271765,0.281354,0.454303,0.215798,0.268494,0.3072685,0.7027425,0.605462,0.927679,0.5651115,0.5335705,0.988935,0,0.021063,0.037365,0.0199865,0.0611055,0.032351,0.022711,0.037131,0.1258405,0.111282,0.4737135,0.708957,1.170845,0.7922075,0.886215,0.681319,0.031288,0.102918,0,0.0946955,0.0524735,0.0840865,0.1265235,0.0596535,0.0877725,0.082346,0.3614155,0.471352,0.862452,0.9946545,0.993979,1.704875
PF3D7_1136200,10.306405,2.342507,1.551177,1.0517335,1.3129675,0.515738,0.583966,0.738304,3.90073,5.728994,7.947035,7.2348225,6.727635,7.776555,21.1943445,33.276753,4.3280105,2.684834,1.197322,0.8906145,0.5937455,1.0095855,0.3759805,1.4180785,4.693233,7.7116975,9.1575965,8.110776,7.7766995,9.5885865,25.930472,64.694426,4.0023135,2.636038,1.682793,1.2169715,1.028537,0.6469475,0.324704,0.3700915,0.294379,0.6041235,0.4812305,0.574063,1.054046,30.4404655,119.1013345,210.6275045,4.8900305,3.8545995,1.4597185,1.6578985,1.076744,0.619747,0.496632,0.5395435,1.1724615,0.8843585,0.7063775,0.745712,1.544715,18.954756,48.4673605,84.818408
PF3D7_1136300,26.9919185,27.2738795,47.6073505,72.0248625,100.586309,88.8789795,78.2145935,72.732848,59.1850785,53.230431,64.5996675,72.9316175,89.9767965,104.393046,168.4324215,171.384346,20.4212285,37.5212505,55.850852,80.294429,84.7248425,110.9949065,90.337624,80.636784,66.3172725,62.8459575,62.450737,68.3290485,90.597501,96.3279925,130.1933195,223.8671,10.7344675,35.941915,80.62037,103.947716,119.491917,128.090171,116.562911,59.267908,46.01637,51.979299,68.077388,104.8851485,112.533386,160.2226915,161.176224,145.1296045,12.077416,38.9030335,82.988304,117.348532,128.5510175,131.5792775,128.306532,71.029375,61.8976215,61.4849395,68.207401,82.184601,91.325846,134.2480995,137.5306225,160.1915745
PF3D7_1136400,63.2515385,110.669358,74.1951495,84.484591,65.2471525,70.1869125,41.409109,45.3802365,37.566571,30.7950895,46.9122915,47.93459,35.1630185,34.1588615,56.0108075,51.6038945,52.0493685,123.6054355,113.6894885,103.466762,79.705058,77.3893725,66.982976,44.243628,41.279162,37.5447915,45.3032295,43.0048855,43.803613,34.668844,48.5501095,74.8678935,50.5336405,82.003814,109.9875625,89.310583,86.8534845,75.267186,57.073043,37.8788245,40.602467,27.503487,24.5543305,23.197192,26.5978835,29.14067,32.496678,33.4359965,55.201116,92.2692155,105.130175,96.341155,100.3898435,76.289119,72.314376,48.959322,35.3622825,39.7213335,32.865753,29.584141,26.5993915,31.0373305,30.9247635,38.3756295
PF3D7_1136500.1,798.999904,373.76931,564.422823,454.4134325,638.5397945,348.6089255,569.6670885,404.174491,506.415859,468.2459335,378.304769,373.855598,597.698384,761.236093,904.081636,1014.863013,442.835531,539.390198,346.191301,440.0018805,363.063862,524.8259655,375.4031795,503.496938,511.961057,513.6708885,362.852311,434.176073,474.288878,713.2860185,1038.716799,860.414928,654.9712825,908.3711525,678.282651,776.0191995,740.052365,770.055651,771.8335185,467.9767705,360.8515865,384.7387515,429.4879025,516.6329155,645.6232955,946.357349,1040.873986,1151.764792,562.1129935,870.311487,694.8464945,924.395697,664.6131145,746.4863545,613.1187655,545.305978,486.8592635,446.9189795,423.46768,497.819071,598.024082,810.508771,839.4124595,942.575954
PF3D7_1136500.2,187.8246605,288.2167785,242.630095,240.732178,188.201627,187.1242435,174.2341515,173.336946,143.6475765,153.497964,171.385521,177.5471075,258.2773055,213.256743,173.3574415,181.5702745,200.6154075,287.5968455,244.1816895,202.0277135,201.593542,155.0823065,148.494354,163.2489195,146.7611875,160.066023,163.128851,199.3520215,234.451447,236.0964115,189.388094,176.8855665,74.495346,76.3755025,92.3794325,98.6596135,69.164658,53.704435,60.9712995,101.0169355,138.086021,172.077518,187.4226385,199.13313,226.108428,252.8756745,221.236586,295.398963,70.386292,71.2796515,85.0098575,109.8417455,76.4466755,45.701054,55.8322835,131.323868,166.62718,161.4515885,201.5833265,202.9484825,217.8088065,257.395608,248.407845,261.8869345
PF3D7_1136600,179.3091905,176.8741095,146.668431,116.9470895,153.354093,96.6448295,78.0955525,70.308835,59.302412,56.209937,70.350376,67.9165395,52.6994385,51.879348,77.293829,57.9254415,102.377381,183.278342,141.3082095,122.8103145,108.7795895,143.26714,86.8679,85.063039,61.658551,59.537195,64.3936895,62.1914105,67.6131925,63.751293,85.053993,184.936996,103.165885,136.158703,138.577381,128.2792855,113.053092,103.4562825,81.7018285,63.68375,63.635787,70.702873,60.379735,69.5533935,45.1252585,26.999269,21.2364045,16.3781395,104.082638,142.5966005,145.9978615,169.740857,120.6958615,107.3964325,94.8226955,69.6517875,88.92745,84.369679,67.8633885,63.6761475,47.114378,53.1450235,48.725975,50.6304965
