ORF,AA01_3D7,AA02_3D7,AA03_3D7,AA04_3D7,AA05_3D7,AA06_3D7,AA07_3D7,AA08_3D7,AA09_3D7,AA10_3D7,AA11_3D7,AA12_3D7,AA13_3D7,AA14_3D7,AA15_3D7,AA16_3D7,AS01_3D7,AS02_3D7,AS03_3D7,AS04_3D7,AS05_3D7,AS06_3D7,AS07_3D7,AS08_3D7,AS09_3D7,AS10_3D7,AS11_3D7,AS12_3D7,AS13_3D7,AS14_3D7,AS15_3D7,AS16_3D7,AA01_FUP,AA02_FUP,AA03_FUP,AA04_FUP,AA05_FUP,AA06_FUP,AA07_FUP,AA08_FUP,AA09_FUP,AA10_FUP,AA11_FUP,AA12_FUP,AA13_FUP,AA14_FUP,AA15_FUP,AA16_FUP,AS01_FUP,AS02_FUP,AS03_FUP,AS04_FUP,AS05_FUP,AS06_FUP,AS07_FUP,AS08_FUP,AS09_FUP,AS10_FUP,AS11_FUP,AS12_FUP,AS13_FUP,AS14_FUP,AS15_FUP,AS16_FUP
PF3D7_0100100,17.4667295,41.4292295,60.3093535,95.290906,88.173535,94.7791645,58.468991,44.5874595,23.349294,12.0279725,8.1629505,5.448126,4.453561,4.809408,4.678617,5.663238,25.103787,39.652457,70.739849,98.2751285,91.853275,81.528946,71.3234595,42.646011,26.134766,14.6551925,7.4726405,5.5235935,5.4699555,4.7744825,4.5294135,6.378666,0.3904735,0.2305345,0.1892005,0.2496955,0.2331815,0.22194,0.1804905,0.2262545,0.274285,0.47284,0.866322,1.166972,1.4300615,3.174032,4.099634,5.350055,0.4656395,0.3220275,0.2957615,0.1946415,0.22218,0.25502,0.249792,0.1990315,0.2791925,0.352753,0.8748565,1.1658765,1.2485565,2.0133705,2.60914,3.217814
PF3D7_0100200,3.865223,3.845525,6.313926,6.7155335,4.229889,5.065038,3.113992,5.799703,7.279406,13.74986,27.92538,24.9840875,12.5810435,6.349487,2.5777915,1.8314105,4.080568,3.966014,5.9069385,5.080173,4.545039,4.6560655,5.65586,7.0688435,9.1987235,12.38431,20.040787,23.979148,15.2360215,6.533569,3.2469835,1.8854945,0,0.100949,0.1630155,0.138175,0.047819,0.0731145,0,0,0.0369,0.086079,0.0682775,0.077604,0.01599,0.1053965,0.414367,0.5143555,0,0.120936,0.1357025,0,0,0.046665,0.1306405,0,0.036309,0.045357,0.137891,0.0500255,0.030859,0.1345705,0.2485525,0.3521285
PF3D7_0100300,36.72903,85.562032,111.1944415,135.2134235,125.6920665,86.1843655,57.541747,46.8332785,32.462488,23.8243255,15.9598775,11.6747,5.760588,5.279314,4.1732635,3.8414295,36.964593,87.1304915,110.848038,121.369005,104.0523375,97.049236,62.8527605,52.04542,35.734814,26.5110305,18.5108335,12.227661,9.779083,7.8392585,6.7487415,6.996213,0.12516,0.1148095,0.0721575,0.235727,0.292404,0.349365,0.246634,0.1685015,0.22347,0.2896425,0.384605,0.463331,0.525363,0.9160305,1.206779,1.358671,0.110249,0.141236,0.137993,0.205815,0.305082,0.2852435,0.2893735,0.213549,0.432259,0.427551,0.3990965,0.501684,0.4622635,0.8093855,0.8842,1.288468
PF3D7_0100400,1.300292,1.091084,2.314431,1.276584,1.531561,1.143545,1.7347645,1.8983345,2.4888005,3.913023,6.2816455,4.217105,2.9535765,1.2015995,1.140838,1.3011425,1.2906135,0.8949695,1.0676515,1.6272035,1.4798285,0.9663715,1.886615,2.247559,2.2669995,3.3162465,5.059652,5.0524285,2.5003545,2.1844375,2.5839645,0.810713,0.087795,0.117609,0.10362,0,0,0,0,0,0,0,0,0.0134825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100600,0.367144,0.622369,0.581964,0.4420905,0.631152,0.447011,0.3294295,0.875455,0.9454745,1.189422,2.930293,1.901718,1.330815,0.8784495,0.3047275,0.0984105,0.278602,0.590187,0.2736985,0.6652225,0.3784335,0.7259615,0.482555,0.806347,0.769679,1.4935245,1.592685,1.819801,1.185722,0.783652,0.340714,0.210399,0.0466405,0,0.0736445,0,0.026403,0.0108765,0,0,0.0326655,0.01578,0.0399095,0.0122975,0,0,0,0,0.031766,0,0,0.104301,0,0.061555,0.0326175,0.063447,0.0176845,0,0.0401795,0.032129,0,0,0.0159785,0
PF3D7_0100700,0,0.819425,1.5519115,0.5584005,0,0,0.5713115,0,1.4366845,0,0,0,0.9430335,0,0.359912,0,0.491292,1.4028505,2.0103895,4.4206375,0.580998,2.4792255,0,0,0,0,0.7476305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809444,0,0,0,0,0,0,0,2.2777685,0,0,0,0,0,0,0,0,0,0,0,0.5694905
PF3D7_0100800,0.045866,0.2384165,0.0401235,0.046374,0,0.0218195,0.02116,0.1964615,0.048502,0.107331,0.2718745,0.1791485,0.069817,0.077734,0,0.057245,0.0183765,0,0.0751715,0.0733525,0.021623,0,0.1815865,0.0330045,0.1543055,0.128932,0.0317805,0.166741,0.07021,0.090737,0.0354335,0.0480815,0,0,0,0.082956,0,0,0,0,0,0,0,0.0130465,0,0.014709,0,0.0323825,0,0,0,0,0,0,0,0,0,0.0214415,0,0,0,0,0,0
PF3D7_0100900,0.280763,0.582919,0.6460345,1.1897595,1.0687325,1.4648135,1.250249,1.4016725,1.7037895,2.518275,5.243871,6.75792,5.32493,3.898256,1.292767,0.6809035,0.3846345,0.887377,0.8429745,1.0202985,1.1291035,0.8679755,0.920413,1.452925,1.8379165,2.95537,3.708086,6.303692,5.216688,4.253402,2.048496,1.537289,0.216501,0.0427555,0.151758,0.0926245,0.1764835,0,0.033804,0.0184505,0.0338415,0,0.0474935,0,0,0.0285895,0,0.0683935,0,0.115248,0,0.05498,0.1970385,0.1276095,0,0.03315,0.018351,0.081688,0,0.0333105,0.028479,0.017373,0.0331045,0.065368
PF3D7_0101000,0.24389,0.4388515,0.4245775,0.606432,0.641145,0.4288125,0.3102405,0.5690775,0.377781,0.270592,0.5555925,0.512442,0.5232265,0.3530535,0.1821625,0.1678,0.5017525,0.388426,0.8479185,0.3294225,0.845108,0.2052445,0.64811,0.3969285,0.2486015,0.301674,0.3217235,0.591973,0.417799,0.2109945,0.35371,0.279435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0101100,96.1082035,69.8822635,80.925136,67.5644975,96.748729,66.1270855,67.209759,49.641441,47.651885,35.2819615,34.8250745,29.5201935,18.1987,12.573619,15.2379995,10.926501,42.602404,89.8342405,71.926047,74.2223205,70.331162,91.115016,58.493709,64.0840495,50.4273285,43.3835995,33.025939,30.623166,22.554281,20.677037,32.0950875,26.2466875,0.350322,1.129918,8.099891,8.164122,5.851517,6.1633575,4.330594,1.779186,2.336434,4.1107375,1.893836,1.16377,0.791228,0.265474,0.1682815,0.266211,2.139188,4.561294,3.991765,2.725405,5.037714,5.086163,4.2085855,2.567398,2.00E-06,2.22403,2.5963895,2.170331,1.1752985,0.296362,1.1860615,1.10E-05
PF3D7_0101200,32.813407,28.8475565,38.8842375,35.3381225,43.4550755,30.07103,23.185847,22.612891,12.6101485,11.2826345,10.5592705,7.9716945,5.072004,3.325967,5.3261865,3.628735,27.5075125,43.294397,41.114819,39.110879,33.4037135,42.098565,19.937466,26.0556175,19.148389,14.5914395,11.7724945,8.942729,4.9403655,5.8597325,10.121961,4.1082655,81.4753355,73.6364375,77.8956165,68.8171805,63.139396,61.3160085,57.5269775,41.122894,37.7532745,38.8953915,27.951287,20.29806,9.1605795,2.6569365,1.8009475,3.143382,79.368892,82.328193,68.4201515,91.246592,69.028483,69.2793735,50.646518,48.3871115,58.16721,58.910334,41.693785,25.9753385,14.310043,12.3058575,12.782966,10.9523135
PF3D7_0101300,1.719266,1.5264905,2.6381155,1.6938415,2.870485,1.467031,2.617398,4.3409595,6.3200515,8.501057,18.681373,23.9895675,14.3239295,7.9675455,9.864235,4.0270015,0.7197605,2.5630065,1.688084,2.809726,3.055529,3.0346815,2.8737775,6.0415245,5.942499,10.272758,15.2797045,18.1728575,18.1241225,9.218232,14.6512705,5.359237,0,0,0,0.074982,0.0780875,0.0606365,0,0,0.220065,0.059705,0.062526,0,0.0892575,0,0,0,0,0,0.1290685,0.180279,0.3568025,0,0,0.058872,0.067415,0.038801,0.0845325,0.033751,0,0.0605225,0.090728,0
PF3D7_0101400,0,0,0,0,0,0,0,0,0,0,0,0,0.048839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2789095,0,0,0,0,0,0,0,0,0.0374325
PF3D7_0101500,2.031508,1.499983,2.0800505,5.592317,7.079818,9.9521225,11.2131415,12.5646635,9.261342,6.3419225,4.9357305,2.9592355,1.3741245,0.834386,0.499027,0.227133,1.7545595,2.621979,2.7867575,5.5843635,6.8197815,9.992609,12.000888,11.091671,8.754215,7.3638675,5.026128,2.985054,2.3920455,1.4371905,0.8184725,0.5188105,0.135336,0.023718,0.1003335,0.051464,0.0758985,0.0758975,0.079853,0.084744,0.203544,0.104284,0.4960195,0.4292735,0.4227605,0.5349015,0.854696,1.176524,0.072463,0.0735575,0.034076,0.14547,0.2305155,0,0.108479,0.0632865,0.131994,0.178562,0.386729,0.398827,0.254539,0.3626,0.484402,0.6819045
PF3D7_0101600,1.019047,1.366204,2.224811,1.514105,1.456388,1.3751485,1.34394,1.580966,2.709557,3.1173235,7.192592,6.4280405,2.9768615,1.5732045,0.54844,0.3425645,0.64975,1.4342445,1.435687,1.830859,1.279469,1.7577635,1.647952,1.993374,2.689536,3.740573,4.4481445,5.919752,3.509293,1.996689,0.9745615,0.254875,0,0,0.3008635,0.1597095,0,0,0,0.1178765,0,0.0806765,0.021859,0,0,0,0,0,0,0.0566945,0,0.0403235,0.0496045,0,0,0,0.131484,0.1411995,0,0,0,0,0.0165895,0.0217665
PF3D7_0101700,0.0844005,0,0.090356,0.2381375,0.2806755,0.126738,0.133568,0.0971875,0.1308455,0.025669,0.160402,0.0778785,0.2345725,0.1104555,0.245692,0.1306925,0.043551,0.193429,0.325404,0.2033765,0.0975045,0.1807515,0.1707225,0.2409355,0.1459395,0.090058,0.0456385,0.222488,0.0217,0.162002,0.126876,0.301455,0,0,0,0.059098,0.035943,0,0.0198545,0.015634,0.0182375,0.058304,0.067374,0.0922155,0.043723,0.0477915,0,0,0,0,0,0,0.035096,0,0.129983,0,0.023831,0.0145645,0.1238635,0.2120415,0.0904475,0.07113,0.011031,0.03432
PF3D7_0101800,0.108557,0,0.236445,0.2919915,0.918321,0.07201,0.0880535,0.1170185,0.308708,0.133155,0.3000825,0.1647895,0.1655515,0.146526,0.0430155,0,0.059668,0.1473755,0,0.4064055,0.185129,0.2662965,0,0.134921,0.0657565,0.037706,0.0494665,0.1787335,0.1587035,0.1913245,0.1002075,0.019995,0.063278,0.0567645,0.049887,0,0.0617155,0,0.0902855,0.100072,0,0,0.0421495,0.1575605,0.0405695,0,0.0459035,0.0486985,0,0.152326,0.0927625,0,0.063734,0.055396,0.097229,0,0.05263,0.050215,0.091278,0.093869,0.0946565,0.0838955,0.1057435,0.027323
PF3D7_0101900,0.2342105,0.576038,0.2963525,0.746961,0.4960975,0.535998,0.44392,0.4748575,0.301687,0.3088285,0.295054,0.215801,0.2345065,0.187582,0.124782,0.0732465,0.183227,0.396038,0.211551,0.515935,0.8346655,0.4745575,0.4392955,0.3860435,0.3991235,0.157732,0.2681855,0.3642635,0.4253045,0.136432,0.173122,0.085388,0,0,0,0,0,0.0347475,0,0,0,0.016813,0.0144475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146525,0,0,0
PF3D7_0102000,0.3781475,0.6627255,0.3484655,0.3259765,0.289651,0.389933,0.0968675,0.062512,0.0207515,0,0.1173215,0.08639,0.189393,0.074374,0.065082,0.0951975,0.531736,0.530754,0.16061,0.0887145,0.1264705,0.1560755,0.401881,0.0390655,0.157095,0.1536775,0.153051,0.061219,0.1767095,0.0848495,0.216746,0.1079505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0102100,0,0.2871195,0.185161,0.2894965,0.270497,0.131742,0.104051,0.0796085,0.058352,0.1234425,0.0752615,0.21042,0.2264205,0.271638,0.276444,0.237743,0.024724,0.233036,0,0.421429,0.058186,0.2292705,0.098903,0.231748,0.2154035,0.1532015,0.129286,0.1519455,0.278343,0.148045,0.5062155,0.2848715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0102200,21092.40927,10881.71144,5552.563693,2441.039662,1433.204311,730.5092725,474.2696155,307.110206,227.43953,163.359477,147.9751195,240.5623645,464.7447635,518.072898,523.6720715,543.425201,17199.08034,9839.856756,4745.024725,2361.149602,1283.056485,863.013164,508.0027685,396.5281165,271.4211995,197.9283785,184.9814655,336.6752785,660.5893915,727.2637775,761.4700475,1138.569889,19.1411405,7.391135,2.9198445,2.3897635,1.187736,0.521016,0.2559525,0.1098455,0.1538435,0.1599075,0.2140745,0.0744595,0.118197,0.1042725,0.1346005,0.4466895,17.75578,8.922276,2.842647,5.73849,1.3770545,0.814926,0.3673435,0.1640825,0.227035,0.246084,0.192406,0.15044,0.1161005,0.2648295,0.297018,0.4330155
PF3D7_0102300,25.3219115,3.9039455,6.144473,4.002704,25.1855285,17.346321,14.848317,18.1366665,21.955292,17.873447,43.6096165,54.4800365,95.3675965,126.5717195,770.2111325,781.1803745,6.6190855,6.8118385,3.788347,9.517987,11.6379645,53.270093,26.331341,36.4693625,23.796541,27.241313,42.852395,49.209468,74.780635,73.53003,371.656221,531.1661625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0102400,4.1756125,0.748337,1.1424815,1.389795,1.3650255,1.163711,0.710321,0.9891265,1.15124,0.88342,2.3820785,3.01267,2.9284895,3.4404665,12.693476,14.9013705,1.470463,1.432381,1.8272545,1.736905,0.9004735,1.600021,1.4284,1.175028,1.0487925,1.412663,1.9848935,2.422044,3.347177,3.41303,12.242567,11.416623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0102500,226.1857085,116.7720415,75.9148165,58.826088,39.598774,20.541311,14.282221,12.639107,8.9759395,10.0850885,28.1272405,38.443881,38.275986,37.557188,34.211815,44.8114345,208.617734,123.942305,74.787018,57.6632975,32.542115,28.067081,15.2039245,13.8982505,10.182455,12.910329,31.364712,46.2079375,53.9902285,46.518332,42.645643,70.3883695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0102600,60.8098215,65.3966865,48.090933,41.345578,41.5767115,41.189881,63.3131035,71.239545,160.4639055,230.9731615,172.101985,114.0960095,46.277471,27.40473,22.522305,17.5420385,49.8229725,70.528652,48.1182035,42.8361655,32.9402025,50.3683655,70.537422,88.8130365,158.0198205,214.522282,187.6975295,129.541925,90.6020825,48.8263935,57.281954,59.2384085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0102700,250.2955905,73.587892,60.573024,27.7231195,28.2146395,9.4754665,6.834388,3.95266,3.086203,1.9741585,3.4475045,3.806082,5.147662,5.710206,11.5245055,11.022038,106.549179,108.424882,49.9356005,31.403054,13.6950275,16.2819835,6.389323,6.8082165,3.412316,3.5505495,4.0651765,4.033946,5.3067405,6.312,14.340435,15.261575,181.5360495,70.597416,31.206451,15.888562,10.031275,4.2255275,2.289175,1.0421225,0.897588,1.285091,1.491401,0.972586,1.336206,0.911569,1.3868445,3.107954,173.79819,87.724527,27.8906235,22.5474365,10.0140265,5.8662465,2.59647,0.872148,1.323749,1.4720015,1.0972655,1.136119,1.112774,1.448336,3.03304,3.750486
PF3D7_0102800,1.1458335,0.855334,0.986912,1.1410855,0.745114,1.667631,1.4681445,1.8216835,1.8036135,1.5861775,3.363169,4.3948695,7.2918915,8.769016,9.4777255,8.998836,1.1069045,1.6812375,1.058707,1.4834495,1.202071,1.8987895,1.829909,2.2947995,2.043848,1.9051755,3.6335675,4.4331795,5.8616305,6.3459535,5.7277015,11.6779885,0.0664765,0.062547,0.129365,0.16701,0.0227125,0.064972,0.0439255,0.233587,0.408468,0.3801835,1.5409025,2.3785565,5.1376685,6.767384,6.264019,5.7807655,0.123864,0.241518,0.0345095,0.239081,0.215156,0.186656,0.1223735,0.238892,0.44318,0.573242,1.223853,2.089785,3.4692895,5.5711195,6.8743035,5.921383
PF3D7_0102900,36.152015,57.8564665,73.0754475,85.534215,89.8938525,100.4558025,93.16791,101.95042,103.466531,115.6823925,156.3882405,168.010702,155.3774515,143.68954,176.0055705,146.9173305,33.285051,72.4202025,84.026665,93.5245425,97.7419835,106.8741915,107.142322,109.9377355,110.991282,121.049929,140.1446955,154.162836,159.299648,133.6692705,168.5562535,170.373574,26.8342125,48.212769,72.6296165,81.382689,86.741425,87.6097685,90.976775,101.9212435,125.8464455,140.094301,150.567498,164.675377,148.115666,94.5711425,71.1362235,52.7540245,22.9717165,50.876931,73.702686,84.567354,93.315454,94.3301425,91.5186335,102.257945,122.362966,141.2546455,142.378338,145.4512445,137.093074,111.858023,102.592066,107.289211
PF3D7_0103000,4.2127435,1.011943,1.0030075,0.9739595,1.408845,1.0721325,1.518013,2.622693,3.470888,4.2450345,5.354653,4.2139295,7.5330825,10.91856,19.0168595,26.2185925,2.0308105,1.643288,1.4408555,1.8078935,1.019254,1.801353,1.7659545,3.7801725,3.327563,4.2333545,2.9392425,5.1063635,6.630466,9.3886785,17.6409855,23.350598,0.5142695,0.4908915,0.240412,0.2098485,0.2881525,0.1585915,0.2697625,0.570318,0.750634,1.7726115,5.1280255,7.2999665,13.924119,36.2343155,49.3737375,48.762729,0.2065455,0.545488,0.330225,0.2918735,0.2364785,0.066018,0.0541285,0,1.0282945,1.4291205,3.2875985,6.0372495,9.7030045,21.2999485,28.5372245,35.892486
PF3D7_0103100,1.710276,0.8035205,0.928491,0.936158,1.3559325,0.932549,0.916812,1.0900765,1.537345,1.591316,2.126283,2.5559935,3.6273425,4.35205,11.3153425,13.7398745,1.0859115,1.118206,0.9392875,1.341678,1.091318,1.5337035,1.362465,1.8862675,1.791245,2.0499465,2.3846875,2.5279735,4.177489,4.4540365,8.9990305,18.0325815,0.197821,0.2164635,0.265596,0.421756,0.456084,0.3820135,0.3027485,0.2713875,0.307077,0.6269135,1.1673785,2.4722065,3.389177,12.3753015,16.051407,15.7762115,0.243298,0.1571365,0.374954,0.545175,0.530298,0.3537375,0.205005,0.273829,0.4650085,0.5843055,1.0082515,1.645271,2.2298635,8.463037,10.235633,12.6160625
PF3D7_0103200,19.847114,19.11994,28.751883,36.8939215,44.035585,53.82343,41.6465535,49.463507,52.8627755,62.3712765,98.6135845,115.4278355,108.5877135,94.6009175,172.502867,148.361566,19.0207845,24.8500145,36.2777145,46.080194,48.2405665,60.801232,58.713227,59.075221,59.6782625,64.3294325,89.9371825,103.7579925,103.3243875,86.7451615,159.071138,137.081042,1.546832,6.077173,15.4097505,19.2914945,23.2935625,22.0396785,23.6723975,38.9884905,70.2607985,79.863401,95.8938665,128.538996,113.764674,101.4481035,78.813559,55.862573,1.7333875,4.4836275,14.1868615,18.860627,23.745115,24.1410085,25.0529675,34.529234,59.5053245,78.2485395,86.111275,94.6178625,95.9238135,98.380575,93.0306845,107.8815995
PF3D7_0103300,26.8535365,34.206899,51.645337,63.0867475,79.1012045,63.385256,56.4158645,54.161905,45.149486,41.3682005,45.4432545,41.7142905,38.827324,43.000523,45.008681,44.4146345,22.4619065,41.931802,54.1293255,65.783909,63.8919165,76.0930045,61.0924725,60.829886,45.789251,45.079527,41.9072495,39.539562,45.189841,42.4643695,39.706316,72.8416455,6.41258,26.1274195,66.508212,76.4676115,70.2890265,63.9442845,56.933989,43.7437495,38.6328355,39.995429,36.8936285,37.0371795,33.245242,37.8055615,35.9326015,34.367173,7.205427,31.3363715,71.7803465,85.764397,77.499578,65.3621325,60.047209,49.323936,49.4823385,47.388138,43.4932235,39.070548,32.910828,44.0778025,42.01837,43.2216285
PF3D7_0103400,39.2777195,19.6666445,17.022671,18.137073,30.25623,22.086196,24.3685185,27.247716,36.1346085,41.752505,56.0161995,63.588564,75.521221,86.1156465,125.453803,114.114224,29.1452895,25.814528,19.203381,22.1838635,19.8074305,32.5839065,25.116495,35.7849625,37.811844,46.3703515,50.6671375,59.278383,77.312928,84.786378,108.895439,163.284952,7.0275385,5.495031,5.7092165,6.9723895,6.8463785,7.4998615,6.318169,10.287104,23.20052,41.793475,57.7422805,73.9313205,68.9742745,59.445704,60.314899,65.3569245,8.7462675,6.6064485,5.845539,7.4958205,7.123441,6.9508055,6.467113,7.810785,21.55583,37.16362,50.545682,61.459268,58.460615,66.6960985,68.9139455,79.4277655
PF3D7_0103500,2.161589,1.66219,1.118668,1.3735285,1.815581,1.4438295,1.1785085,1.578197,1.385224,1.383896,2.196275,2.217034,3.1584525,4.528625,7.569749,7.3052965,1.5805145,2.118947,1.5173655,1.703794,1.4969505,2.156847,1.5346935,1.9161895,1.5088775,1.65454,1.905241,2.182833,4.4980735,5.002382,6.2019735,10.0767835,0.237017,0.1748805,0.1324015,0.2699435,0.2989905,0.32692,0.291231,0.3459855,0.423042,0.5128465,1.048589,2.0921325,3.482087,3.0632625,3.2241985,3.2259515,0.2439075,0.197897,0.1763295,0.356001,0.399484,0.381802,0.3585095,0.4707905,0.660162,0.640564,0.978836,1.740391,2.436521,3.0432455,3.8780645,5.18657
PF3D7_0103600,2.8116255,2.727733,2.6966925,3.842993,5.359941,6.962543,5.2971475,6.786151,7.601755,8.604193,14.1052085,16.8528185,15.422029,15.669112,20.3320075,17.0041585,2.891006,3.3731055,4.102778,4.9553935,6.089383,7.6564955,7.45522,7.5123,8.1141835,9.6639445,12.5195055,13.602296,15.564815,15.0142625,15.341898,32.2593015,0.418314,0.432194,1.9899045,3.3648145,6.14186,6.637296,5.8702965,7.193044,11.4203255,13.643382,15.5285575,18.93611,17.06955,16.865504,15.6264225,11.5647665,0.5297175,0.5621245,1.85664,3.5310325,6.095488,6.4926815,7.4522735,6.4203895,10.1890135,12.818803,15.0368605,15.877363,14.839652,17.3428295,16.34617,22.8280815
PF3D7_0103700,4.4879305,4.4781605,5.507598,6.4345225,7.5692475,7.405813,4.9491195,6.7425025,5.1751375,4.6319805,7.959718,9.3409905,7.259335,7.549908,12.349753,12.1872385,3.16368,6.258275,6.5441225,7.8329275,6.2107225,9.8988905,7.2903055,7.569938,5.1000075,6.011264,7.39882,7.2951145,8.081529,6.630178,11.507644,13.7454255,0.9865045,2.650279,5.44957,7.166488,7.4942395,6.6107605,4.954495,5.4573395,4.7617865,4.47298,5.50234,7.1257855,5.862033,8.464333,7.1805055,5.705743,0.79869,3.397356,5.6957415,7.697687,8.417585,7.0652885,5.7413855,5.797233,4.8925485,6.146604,5.3162385,5.423542,4.7692285,5.4406285,7.2458755,10.3053455
PF3D7_0103800,2.1244525,1.750819,1.4249535,1.8319545,1.7591815,1.7065005,1.565543,2.264133,3.730172,2.5717775,3.2914845,4.47033,3.65472,5.8115545,6.761429,10.6683935,2.217049,2.1387715,1.433414,1.899503,1.3381075,1.472884,1.408417,3.176607,4.1528855,4.4237285,3.9673055,4.0375065,4.919126,5.83905,7.7825585,5.3547695,0.906103,0.925624,0.775211,0.185573,0.241096,0.1475265,0.2238925,0.186181,0.111614,0.1414895,0.4293625,0.4699355,1.7974215,13.75989,33.067753,40.4683835,0.887706,1.300841,0.645563,0.3679405,0.4461,0.4547525,0.155103,0.108378,0.128041,0.15552,0.392654,0.8432935,1.371552,8.9448725,16.3691195,21.4191975
PF3D7_0103900,4.15667,2.0059195,3.278618,4.7084155,7.2454025,7.7431805,7.2591855,9.559769,9.099644,8.6043505,17.3508755,21.541343,24.6002055,28.1390425,55.187344,54.700829,3.127426,4.0733435,4.4839375,5.8480975,7.850428,11.8241815,9.3097705,10.6433495,8.676536,11.4181755,15.324494,17.8918095,23.8513895,22.1457,37.99167,54.517056,0.3710075,0.273669,1.303885,2.4568185,3.782001,4.4616825,3.9613605,3.8751395,10.235063,15.4054775,23.474773,33.071171,41.1291355,59.413633,58.1167665,45.4355405,0.8399415,0.3666235,0.9064975,2.7168055,4.7771625,5.076941,4.6740155,3.1038395,6.622934,13.797626,18.7650235,24.353887,29.3960415,39.3496845,47.317608,57.5910245
PF3D7_0104000,1.138987,2.317564,0.7822265,1.692773,1.1182745,1.106449,0.2744325,1.5787495,0.624388,1.553267,1.452734,2.060238,2.0975375,2.5890135,3.2968465,5.10044,1.8823,1.0270715,0.8553865,0.635311,0.710676,0.5665135,0.7947615,0.615082,1.481333,1.278222,1.666593,0.92853,1.810196,2.829853,4.312289,2.7257535,2.60516,0.971755,0.828343,1.084748,0.7971455,0.8124425,0.189684,0.139446,0.8289805,0.7556555,1.845462,2.026054,2.934743,16.1629945,19.9553595,21.2903025,1.427077,0.9529025,0.925497,0.8616255,0.8973035,0.30118,0.2787515,0,0.320587,0.877047,2.10624,1.667844,4.341628,8.712845,13.5829095,13.0067765
PF3D7_0104100,1.451867,1.05254,0.7455775,0.579808,0.552849,0.603589,1.0018165,2.451028,3.1350325,3.062337,4.2844505,4.4656865,4.64239,7.535787,12.270573,18.9841445,1.799349,1.1790875,0.734789,0.649413,0.5718135,0.5481315,1.4111745,3.4357895,3.558121,4.046852,4.0475265,4.519448,6.77479,7.7167135,11.236688,18.7244595,5.2917575,2.369487,1.155281,1.0242475,0.7597495,0.3484795,0.1182155,0.1015925,0.1162805,0.2290395,0.253758,0.462618,1.6728355,26.305995,44.448969,47.944011,6.85152,2.2302885,1.358878,0.931822,0.5329155,0.364843,0.264522,0.101958,0.1335765,0.237532,0.401458,0.6832585,1.2561905,11.562314,19.5254265,27.8460345
PF3D7_0104200,173.202765,127.9581635,80.429271,66.6726015,48.503277,42.0229345,40.109103,49.998464,58.2297365,73.8298135,121.8083565,150.5632105,162.272928,156.804651,149.060818,154.3808535,197.2254895,134.3148985,86.9979935,68.873542,47.9997215,51.23739,47.0707065,53.4330245,59.3427105,80.623893,114.785682,150.860957,177.0774155,175.815278,177.6137735,139.3798165,65.4493715,37.4073185,26.8659275,20.4533995,14.252032,11.111258,10.1575765,29.3933185,98.5662015,138.438824,163.796519,168.2741155,155.974671,177.78469,217.98333,285.5014475,73.419005,44.3263245,28.72002,25.110356,17.3136205,13.848418,10.7839615,25.894598,76.9762685,112.672187,150.4064465,167.09385,159.63147,218.133331,214.6177395,196.5017295
