ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean
PF3D7_0905100,1.9624549579782145,3.294237924628129,1.973256144941113,3.0573947102655343,1.5305538742456697,3.509446658904323,2.4638606635201112
PF3D7_1106000,0.8848673702950178,2.037343596424374,2.4466362253643243,2.4805062590155504,2.9057883030526863,1.0538578230824618,2.467568595964233
PF3D7_0219100,1.3535220538253565,1.981777157750956,2.4854690053796102,2.5222451052496697,2.8872073341445352,1.1327377109503856,2.4691746506311927
PF3D7_0707600,2.271528207577838,1.9252038041654018,2.9358099763560883,2.332032352329652,2.7033604352800884,2.169539631896616,2.4741016420328075
PF3D7_0919700,1.1001498921386663,2.175722361270496,2.601954687582775,2.3892149727328,2.7306843453911878,1.057044472013078,2.4743940917443146
PF3D7_0805900,1.4604089033889125,1.9298921319512448,2.6154764613710717,2.3147745805586064,3.0482369633022084,1.5394025352094876,2.4770950342957825
PF3D7_1307800,1.5755074949468777,2.482778280930112,2.6428027310903768,2.3226890068825967,2.466756362598513,0.8664202973197298,2.4787565953754
PF3D7_0524500,2.217369446302948,2.5044849015011983,2.961401478492277,2.2306579534504483,2.245051140662088,2.674718807311637,2.4853988685265027
PF3D7_1326700,3.1186952378682684,2.517937906055169,2.8535056098399214,2.281621628410805,2.2912460055713457,2.064728949703696,2.4860777874693105
PF3D7_0507900,1.4210533834603354,1.4135995808731296,3.1851950457785336,1.9444915993863112,3.402358289887708,2.422073527011595,2.4864111289814206
PF3D7_1427800,1.0207837660145431,2.15406739385057,2.454280402662364,2.6488496083498365,2.7104717316554927,1.5624251577815464,2.491917284129566
PF3D7_1249100,1.1955102965839215,2.095769478681281,2.4995437942485093,2.512584096388964,2.900172126291576,1.370269675948092,2.5020173739025817
PF3D7_1217400,1.8587276722033501,1.6074403145313791,2.236647242444396,2.7344331211274313,3.4316957737344893,1.0776701349898794,2.502554112959424
PF3D7_1414200,1.875675924071564,2.611157230799435,2.0938904446468682,2.6748861272965434,2.6745358991101846,2.607438497923237,2.513617425463257
PF3D7_0315100,1.7471323265202081,2.689105118006115,2.6992766745519186,1.978710319585354,2.72632851876878,2.6919266239369986,2.5233551577280418
PF3D7_0405500,1.357895188649345,2.178820362112955,2.725189455770201,2.4595399549180548,2.7322506275969483,1.9230550400215882,2.5239501000995395
PF3D7_1023200,1.2279346813228893,2.030644281541712,2.777760984013204,2.336708690577461,2.970427276687152,1.1848388903102254,2.528885308204882
PF3D7_1422800,1.49348197943018,2.13531076009704,3.21610891718044,1.771078841983248,3.0098556633237337,1.6828652917547695,2.533088545646115
PF3D7_1364400,1.5299339402870231,2.7283716392719923,2.3497035162690234,2.579373816828073,2.477168990637358,2.9741879197539136,2.533654490751612
PF3D7_1442000,1.0523864875355815,2.4234050982721063,2.6859561396383125,2.365090040642848,2.6660733453841483,0.8255796130406693,2.5351311559843537
PF3D7_1458400,1.0919275419154548,2.177503787128764,2.5061922388015763,2.5615456998311315,2.9051871448711086,0.8102759794006305,2.537607217658145
PF3D7_0221800,2.024615759318406,2.469371444386597,2.808364199556242,2.370317362757683,2.532832598874648,3.01523779586837,2.5452214013937926
PF3D7_1217500,2.6390703861233096,2.432341084833328,3.545212262135352,2.383564510889957,1.8308402460558173,2.012275663542918,2.5479895259786143
PF3D7_0708800,1.4205904405997432,2.3593790443586653,2.380281410056245,2.7946025192954314,2.667639470419679,1.4124571844082778,2.550475611032505
PF3D7_1237500,2.6578964524539903,2.2612097434894856,2.95213593079075,2.129567747865795,2.8599937095036045,2.4552929089516,2.5507267829124087
PF3D7_1243600,1.271194799364766,1.865077863711697,2.9096087949062865,2.227410149812395,3.2071060570691614,2.075052945927128,2.552300716374885
PF3D7_0522000,1.9781393974155304,2.5163980395308707,2.9754586122854234,2.1532949865867947,2.625640590049044,1.5097500860885995,2.5676980571130334
PF3D7_0921900,1.6120904457458824,2.1466168211747787,2.533465329235685,2.626546952485335,2.968132484038956,1.7577865326804003,2.5686903967336887
PF3D7_0212400,1.8852493598582316,2.1758153195591325,2.4066001267032098,2.86521979808897,2.83551886654908,3.0680323186085787,2.5707885277250986
PF3D7_0524000,1.1847235654418329,2.3973578767824795,2.482159683980504,2.540909450960663,2.8674836715888308,2.2852479707494173,2.5719776708281192
PF3D7_0610700,2.1664388703729003,2.4285245014856804,3.091538893631585,2.099034637621686,2.670759612242909,1.4917399960524609,2.5724644112454653
PF3D7_1105600,1.1907794174850084,2.226416113719888,2.6632687449544914,2.6247166887327924,2.7792555908363488,1.919783809006932,2.5734142845608803
PF3D7_1310400,1.0986848310242558,2.455731498177143,2.5342857151056153,2.575128321978076,2.7287005430917857,1.3192326471343223,2.5734615195881547
PF3D7_1120000,1.7155289622249386,2.2802812952226046,2.70289599647052,2.5237180356046087,2.7933622155535067,1.49754561415712,2.5750643857128104
PF3D7_0612100,2.045772549737279,1.9796074218498467,3.2092113051813373,1.86048837723418,3.252669260103807,2.0617963685376632,2.5754940910922928
PF3D7_0318700,0.5491403641721271,1.308103284622136,3.54990868989744,1.6426083829346372,3.8062756045597648,2.875633195573064,2.5767239905034947
PF3D7_1327700,1.782225500072553,2.350429735931424,3.186002353930233,2.1590605726067533,2.6203948464107185,1.682584871996365,2.5789718772197823
