ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean
PF3D7_0210100.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_1005200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_1413300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0929800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0421800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_1133000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0935600,0.08020512587796964,0.0790748186882503,0.06739704816561234,0.07894847814731427,0.1385038861974435,0.12055118607461246,0.0909810577996551
PF3D7_0831100,0.17236247112777356,0.056617535369582576,0.1091397938026749,0.14383089620938447,0.11093877278411864,0.10562800483945534,0.10513174954144014
PF3D7_0726200,0.11612948711251014,0.15013343241479588,0.071475439511547,0.12163089799316708,0.10311963641894174,0.09821565783864962,0.11158985158461292
PF3D7_1451800,0.15597905503953183,0.08645496827735834,0.09439823669291991,0.14770107627015766,0.1549984904667192,0.14617919874505458,0.12088819292678878
PF3D7_0628300.1,0.08775905400757404,0.06858520780525347,0.13585378328008788,0.09207176573470453,0.21328826738663456,0.16241716222798963,0.1274497560516701
PF3D7_1149200,0.09743451226160911,0.1428979131623958,0.13941607095576974,0.09787694723930718,0.1442093432652466,0.07706915845953642,0.13110006865567983
PF3D7_0424600,0.13147062432167783,0.0793078860238917,0.13031849092088496,0.08421601611647778,0.2415545959665339,0.1751563686931186,0.13384924725694708
PF3D7_1338100,0.17751959918318727,0.16014980242899396,0.14174405902898407,0.13133027348244658,0.11625301633014369,0.07924510704751522,0.13736928781764207
PF3D7_1350900,0.2365162378387054,0.13403854228457912,0.19132631738440845,0.1658380437752511,0.08076384546076677,0.12322793840958177,0.14299168722625136
PF3D7_0511000,0.0923658313764555,0.23165382619772376,0.14803658359704852,0.16695769924808684,0.12424544438391606,0.17934200622684635,0.16772338835669381
PF3D7_0702100,0.2166751526853553,0.21222954573989772,0.1597826930418263,0.15549816026891947,0.1541042947766429,0.23681889279402712,0.17040367345682159
PF3D7_0605900,0.1365909361263587,0.10146919395010096,0.1834173766877226,0.107104909228568,0.3168960231071947,0.2468159928220865,0.17722187574339654
PF3D7_1473200,0.33290706673252807,0.14221299427853185,0.17821459903874506,0.2107884290572811,0.21522049153540623,0.12044357003646183,0.18660912847749106
PF3D7_1107800,0.2427230604530553,0.25382046906999833,0.13198171922647708,0.19557528718872944,0.1730234818229832,0.21040070816047685,0.188600239327047
PF3D7_0406200,0.10392516121159927,0.11902494369637856,0.2445823466786094,0.1245808634394116,0.2727540709925872,0.18635179079224323,0.1902355562017467
PF3D7_0707400,0.292999291924806,0.33797029995430283,0.14909677725606474,0.1319471490330358,0.15707658225856297,0.19926108810147986,0.1940227021254916
PF3D7_0402000,0.3146547615848911,0.26928939704573907,0.22454672393212793,0.15913721612668277,0.15628493254374465,0.2294923480153689,0.2023145674120736
PF3D7_0619400,0.1504634041307122,0.21318284538662136,0.174534419222089,0.24208165497994283,0.19082627389732343,0.11769364235732126,0.20515629837149416
PF3D7_0902700,0.19904780089474872,0.20092852224631993,0.1932325056193001,0.13087045997503716,0.29671167009613425,0.33696058515809124,0.20543578948419788
PF3D7_0902500,0.2682173281813317,0.14830604567537026,0.09128026396640841,0.27966381242060967,0.3132800599287266,0.17354802328498908,0.20813254549777876
PF3D7_1477500,0.24763997843443214,0.2583256575855453,0.31184110815568006,0.08860238824552326,0.18322877663720516,0.12537863463375482,0.21049948265598845
PF3D7_0211800,0.22380296519490767,0.3323273879495452,0.17183218344664938,0.20824019592505127,0.13035675120375864,0.3005547156018463,0.21068912963125114
PF3D7_0206800,0.1497416730231447,0.21465957885884449,0.29817857251140095,0.13580810370154767,0.1944960686297943,0.12521642084093249,0.21078558092539684
PF3D7_0729100,0.24415894073975372,0.20502607927674624,0.1706829625262798,0.26826766941163777,0.20414587275298907,0.28404836178266046,0.21203064599191318
PF3D7_1104800,0.24552499720053347,0.2634274477852758,0.1994062903519463,0.23014290292873013,0.15694664188181373,0.1670766903110876,0.2124808207369415
PF3D7_1033200,0.11344455716604376,0.1902124373977698,0.17101286672566313,0.24759537218407293,0.247028371026897,0.14114091264299178,0.2139622618336007
PF3D7_1416500,0.1624162752100907,0.1354798802150869,0.23960481067581363,0.13227493869242116,0.3541721950395634,0.24158436536628847,0.21538295615572128
PF3D7_1106500,0.26324481044036624,0.2868492822009192,0.18275154995139098,0.28292253862056815,0.11074239706539205,0.2754940985255683,0.2158164419595676
PF3D7_1007700,0.31187389721662545,0.25547834747795245,0.34732563469099376,0.15306578575901275,0.10920469803312921,0.20617902076696348,0.21626861649027201
PF3D7_0913300,0.25907535445394075,0.2490163711352632,0.33863385438891774,0.1193633643225272,0.15947743367163342,0.19918282530255424,0.21662275587958535
PF3D7_0614300,0.20062977436589638,0.34255436731561084,0.2563280498364382,0.16627204130694503,0.10488350741645103,0.196301101317465,0.21750949146886128
PF3D7_1372000,0.20808772686839216,0.230003510189748,0.10230691668828816,0.296709694693853,0.2459536245498742,0.15892311253350508,0.21874343653044084
PF3D7_1409900,0.22290211263434112,0.22770511430540932,0.13226844479595354,0.3090029941378883,0.21137998663729668,0.2744835107681765,0.22008913496913696
PF3D7_1311900,0.3117716520201148,0.12839046582416166,0.35848740371899895,0.25426875101373386,0.14299930403669914,0.3223182402460342,0.22103648114839838
PF3D7_0319600,0.2687903051404565,0.21921775070750135,0.2328332862428538,0.22111775221528251,0.2161540449712703,0.12709026525459682,0.222330708534227
PF3D7_0111800,0.24143551341337022,0.20793118197498633,0.10224380589423225,0.3037326073076051,0.27802884353539203,0.2613421507256378,0.22298410967805393
PF3D7_1352500,0.27840489530574575,0.311770828408334,0.3126106419203361,0.18138137844070898,0.09849958515512248,0.25465114659589444,0.2260656084811254
PF3D7_0519600,0.2789676160082357,0.3250688868741121,0.2804507029942656,0.20103501279062924,0.09806743315284186,0.23970888103641588,0.2261555089529622
PF3D7_1012400,0.2102683117321511,0.26563242503705115,0.21711507468503563,0.2443061704612937,0.17826142513691595,0.2069635776580597,0.2263287738300741
PF3D7_1134000,0.2432516658350341,0.24594203548266014,0.181918591189472,0.3136686443080811,0.16459572883296758,0.25919973234520355,0.2265312499532952
PF3D7_0711500,0.29137688963867453,0.1800483597980522,0.2494718818662544,0.20295862861254052,0.27758900332512565,0.20053222953196662,0.22751696840049318
