ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_0935600,0.14610206452110147,0.2621240865494451,0.3494453449039288,0.2474228651020245,0.3788782041696346,0.226622488317994,0.30946762518125825
PF3D7_0102200,0.5218135032502249,0.25767253618739683,0.3144766955105626,0.3123339211582589,0.4956234196632273,0.2575942961998858,0.3450266431298614
PF3D7_1342600,0.4542604643352445,0.1764461398337513,0.3666630638864609,0.4419788346293934,0.4425189401016023,0.3974498776901888,0.356901744612802
PF3D7_1207500,0.3595691802856114,0.3441015091859207,0.3977170362437421,0.2451519217057045,0.4529737914433602,0.4827714819450337,0.3599860646446819
PF3D7_1326000,0.20666548170231908,0.3312628826362903,0.4333918155034962,0.3197623159218905,0.4779165898387501,0.4695562311215856,0.3905834009751067
PF3D7_1001200,0.24893409764759905,0.5644695337905624,0.2996794392854464,0.4220311439689791,0.3250170943117333,0.6162023275666348,0.4027993028391803
PF3D7_1415000,0.2790842474198148,0.4635305864983164,0.4609698019930097,0.25488627414438386,0.4488293163585295,0.4987521475866639,0.4070539947485599
PF3D7_1331600,0.30064213892709424,0.4627722835944148,0.3511925005184081,0.5926172267666711,0.2636215656942773,0.6212335701202151,0.4175508941434428
PF3D7_1452900,0.30195119182559976,0.3936411788459709,0.418337695719856,0.41570654186521777,0.4563847948744098,0.4750008119428604,0.4210175528263636
PF3D7_0613400,0.3204575647005129,0.3329987135573469,0.5964312593719562,0.3895635976019533,0.3920315147235818,0.6339377816120667,0.4277562713137095
PF3D7_0208000,0.24408293401183345,0.5763895695703114,0.3173874594384768,0.5087806709692582,0.3089764152166625,0.6519890773309385,0.4278835287986773
PF3D7_1228600,0.3367409132881721,0.28860032414229625,0.5817178654602566,0.5409284417833526,0.3352661069565304,0.746141738759001,0.436628184585609
PF3D7_0316300.2,0.22127148095908766,0.4476445720574778,0.4835023847216013,0.3905321823769024,0.4423184565526041,0.6121247305774761,0.4409993989271464
PF3D7_1469800,0.3373314240070743,0.4413008143041717,0.5373739587466321,0.3119001445465121,0.5039993318297041,0.5106733391243226,0.44864356235675495
PF3D7_0530200,0.3596222996159908,0.2937668212220459,0.5045346768230262,0.3198605674582813,0.6796144196577074,0.4881436768954254,0.4494441212902652
PF3D7_0803300,0.3056594960257799,0.3240588738875706,0.6239146315404345,0.2760756487747118,0.5873406015659138,0.6180062953998242,0.4528474389421576
PF3D7_1422500,0.19638021972499745,0.3967058013568949,0.5197265808516048,0.376239821631546,0.533025486208759,0.4785210214738947,0.4564244225122012
PF3D7_0524600,0.29397951775190634,0.4958375953943218,0.5173416439154418,0.36365077197887935,0.4689272803243488,0.5539448002984262,0.461439322903248
PF3D7_1023400,0.23015106173533595,0.5154761517238027,0.4285910160888125,0.4655389644135775,0.4677696717416671,0.5984660305936256,0.4693439509919649
PF3D7_0204900,0.29167590120642306,0.4392913278602788,0.6113562343444058,0.3141272198711103,0.5214554065979798,0.4416429945960593,0.4715575471684437
PF3D7_0302300,0.6386898664761819,0.5764070768452164,0.5439855835726156,0.44589274983272986,0.32927356211211906,0.4078441402428447,0.4738897430906702
PF3D7_0307400,0.3106000024855828,0.4026623257737036,0.5742678844712016,0.31556598738871433,0.6037743220183294,0.6118312137665114,0.4740676299129872
PF3D7_1304500,0.3548273116858651,0.5616448710079743,0.459690508826008,0.3957284449236967,0.4960617170523831,0.5171383319567064,0.4782813854525155
PF3D7_0211200,0.3129995950560742,0.3081377045605377,0.74114652260894,0.2911514559557825,0.5875550913566192,0.6777728844659229,0.4819976936204698
PF3D7_1035100,0.34552905534086314,0.5440651211344303,0.4700260668539898,0.5769507874377389,0.3389170387470216,0.7538604432689251,0.4824897535432952
PF3D7_0624200,0.2432904896443329,0.4932077061572274,0.5365371154697932,0.4127473437238739,0.4944105736867143,0.5051756884804098,0.4842256847594022
PF3D7_0604700,0.3878827160544252,0.3852613764414575,0.6385893344793575,0.2841477539052677,0.6306117818424507,0.7222974133789354,0.4846525616671333
PF3D7_1364100,0.34965676219911274,0.4526455842396743,0.37675411957386057,0.4916904804682293,0.6310827315119374,0.5778430454313754,0.4880432289484254
PF3D7_0417200,0.2541144048844572,0.4396048250854749,0.582698752813318,0.2988642105723885,0.6354257749721305,0.7243713618995945,0.489148390860828
PF3D7_1024500,0.266013911220123,0.3672622504084064,0.6242724531466811,0.3635247107146191,0.6040165897419678,0.470741367913564,0.4897690010029186
PF3D7_0915700,0.1900187994442563,0.41027357994335706,0.5741709352948918,0.4248149430714496,0.5674306479964132,0.5291996794053782,0.4941725265765279
PF3D7_0821000,0.28269718669412724,0.534812860454188,0.5182469742503301,0.39034197744333465,0.5400213762301463,0.7241263025893758,0.4958557970944998
PF3D7_0721100,0.2252960745676305,0.3836482805845389,0.5067899640129351,0.4846949352130879,0.6098156112467438,0.4282668152188197,0.4962371977643264
PF3D7_0704900,0.5204167087583762,0.5989840802182601,0.4830059235456701,0.4317318987008914,0.4783188568015026,0.5975434104520607,0.4980101898165811
PF3D7_1417800,0.1738299396095427,0.5040647327548461,0.5137319640445802,0.5084087414588347,0.4815093829966194,0.6508872302242316,0.5019287053137201
PF3D7_0527000,0.27809918723745725,0.4590013130456687,0.5356513947674851,0.5280814795789132,0.4900827557074442,0.5106015186995985,0.5032042357748778
PF3D7_0715800,0.2850238049312897,0.5988357506570007,0.4985298282632914,0.4504120119541992,0.4799151613418104,0.664740956427326,0.5069231880540754
PF3D7_1345500,0.3861804498425696,0.493899483909372,0.5718941231054162,0.2432197946239109,0.7196331020106832,0.7058427917111519,0.5071616259123456
PF3D7_0929400,0.4309430153508091,0.37863214070338186,0.3748877352759812,0.5643328768146915,0.711287287797355,0.41223791733946985,0.5072850101478523
PF3D7_1320800,0.31742458527904416,0.3874143439557219,0.6691300288609843,0.307556682218286,0.6667330152145446,0.7013073443905046,0.5077085175623842
PF3D7_1315300,0.6446276407039963,0.5610789373949427,0.4471864815456683,0.5902049158545789,0.4329033631445274,0.5465002933129144,0.5078434244849294
PF3D7_0907900,0.4118814875656858,0.4138678066830082,0.7454241873478237,0.28511266845173666,0.6069895491156343,0.5710832256771338,0.5128485528995508
PF3D7_0719500,0.2090984885272757,0.5420358830167824,0.5170688092019541,0.4964816082405199,0.5065200876204831,0.8305944203858969,0.5155265970199349
PF3D7_0904400,0.4285264402159826,0.6219726569492638,0.6693279174242719,0.3713836655637132,0.4001557390618419,0.4535169878234197,0.5157099947497727
PF3D7_0805700,0.6452952787574204,0.4939998208452866,0.4279157125091397,0.5499124634237708,0.5917829702203751,0.4510050868046674,0.5159027417496429
PF3D7_1200600,0.6399733973134479,0.4873308380452841,0.6150153399768469,0.4727939967635129,0.4888971825636256,0.5454724131164285,0.5160093393373174
PF3D7_1029800,0.2916925358702189,0.3921294175051708,0.6518159916475429,0.4229729626555489,0.6089381001549284,0.5082240709305113,0.5189641179907978
PF3D7_1303100,0.25345717227889103,0.4200142048974728,0.7041676200530756,0.3448128165053461,0.6143321410616203,0.6318514717627677,0.5208316956293787
PF3D7_1149200,0.4673115978614639,0.3748394902010985,0.6945257887944921,0.255166669619895,0.763577391771777,0.5815173993178895,0.5220273350968156
PF3D7_1462700,0.362251523025546,0.2289773181209159,0.8017503585385358,0.31104122472644063,0.7463640473994211,0.7204980747919001,0.5220332371963283
PF3D7_0806300,0.3866325659763257,0.7330168787122942,0.3130119727024182,0.6568023687365371,0.3900499219943955,0.8384090702287714,0.5232202855364112
PF3D7_0936300,0.4203612839241031,0.6297202491181954,0.4035182239795382,0.6385503588284386,0.4229169754349847,0.5740348941048155,0.5236764518402892
PF3D7_0212900,0.2452227501302485,0.4480864465333965,0.6277961950992373,0.3786225521702842,0.6457381242910907,0.6831579111054903,0.5250608295235022
PF3D7_0614000,0.3745826880030705,0.6993555240522153,0.4548755840573948,0.5033868670461723,0.4513551180026408,0.7575523494965979,0.5272432732896059
PF3D7_1012300,0.5139771016265016,0.42919355039623774,0.6199498206274817,0.4961074292892457,0.5698040677770438,0.7292664917476906,0.5287637170225022
PF3D7_0107000.1,0.2851222385099458,0.484007096257806,0.5613628247758229,0.5395428620041021,0.5419994681238828,0.4827331682203297,0.5317280627904034
PF3D7_1308800,0.28201870962432785,0.5937030430735285,0.5552114688278017,0.490557470172313,0.4922114561498387,0.6006325546426853,0.5329208595558704
PF3D7_1032800,0.4451878625190328,0.6487625536442909,0.4765551606410609,0.4146775066946938,0.5975632181671662,0.7809376277244685,0.5343896097868029
PF3D7_0817700,0.4400992081228886,0.6543092361094518,0.4739762213620331,0.5159312823527,0.4967989118869898,0.744110200186355,0.5352539129277937
PF3D7_0315500,0.4816564990787818,0.649967258083023,0.5852332487977062,0.35117823223602845,0.5563731133057082,0.6133838722344038,0.5356879631056164
PF3D7_0306500,0.428166417200307,0.5641940144669867,0.6781052292325468,0.4879555101633036,0.4224902043051664,0.7088133319524128,0.5381862395420008
PF3D7_1226600,0.2678805303612328,0.3447922761320498,0.7481441485666264,0.2356893558068233,0.8264830675886279,0.8867948707129422,0.5387772120235319
PF3D7_0508100,0.31817285176681986,0.6505931763155994,0.43273788890091386,0.6586845085636241,0.4130972058491226,0.7618073609900409,0.538778194907315
PF3D7_0731600,0.2309832397386649,0.7224243433248638,0.3893335296683309,0.6655843100595366,0.3941975667067129,0.6760517023415146,0.542884937439861
PF3D7_0419300,0.2465390193145825,0.5847414856145853,0.4784193994942518,0.6253672989929651,0.4830706439011657,0.8584087469191016,0.5428997070007421
PF3D7_0808200,0.9003224033032122,0.5256851493704068,0.6162259503286356,0.5160916822930384,0.5279248696982738,0.4214276915492831,0.5464819129225886
PF3D7_1317100,0.17176664088549926,0.4718842093355639,0.6415213157387697,0.4467196405933387,0.632142019486433,0.7560800246952708,0.5480667962885263
PF3D7_1343500,0.4470603753141663,0.37855365417895204,0.8002369452352456,0.3706860864350571,0.6471186526198047,0.8314366357270055,0.5491488346172648
PF3D7_1440100,0.1917625582960233,0.7845790633521678,0.38898851150007857,0.6631178107464327,0.3600379924753516,0.7414919535679045,0.5491808445185076
PF3D7_1409300,0.3648561198722677,0.3442269423119722,0.6847783816632635,0.2882872898072231,0.8799092947373237,0.7650676321680535,0.5493004771299457
PF3D7_0320800,0.4137641176166458,0.4447247085768541,0.6283810115598045,0.5064939646578741,0.6242241974027792,0.5778770360148526,0.550955970549328
PF3D7_1413500,0.3407968219563908,0.4492509208903084,0.6465600832114272,0.6032550154357422,0.5101745259678837,0.6682538811018531,0.5523101363763404
PF3D7_0605200,0.3167981037151324,0.4653687088852334,0.6671646625746894,0.466795909300889,0.61127332976365,0.6914808309520536,0.5526506526311155
PF3D7_0903000,0.3224567799150487,0.6459883865098143,0.4688914185016891,0.651875665476375,0.4477466640729573,0.5961944906705295,0.5536255336402089
PF3D7_0705400,0.20603117246155564,0.5436614054924436,0.5664343572772929,0.581168902329905,0.5252263216584077,0.7469286910678291,0.5541227466895122
PF3D7_0320000,0.3839601350862095,0.4614683140832694,0.5835499470795664,0.5656958623546026,0.6070013218692811,0.5951035718941129,0.5544288613466799
PF3D7_0924300,0.2477555394042709,0.5457850362818586,0.603714032624718,0.378289554408984,0.6900722564724263,0.8950357990520891,0.5544652199469967
PF3D7_1205300,0.510282146143144,0.4193481995395941,0.592325615850566,0.2388652105208573,0.968432382624249,0.8311732805888767,0.5547428521338166
PF3D7_0526200.1,0.5066632627262366,0.5779417118982577,0.5531807940258777,0.6161212031082021,0.4743836935030893,0.7479129315080909,0.5554068506338566
PF3D7_0720800,0.5472579768734812,0.514338466794123,0.6398604613637031,0.5994610890973694,0.4714097713054803,0.6481865046449725,0.556267447140169
PF3D7_1431600,0.23678957397623024,0.6031541065428527,0.5688636043549091,0.4761294771378519,0.5832947167846922,0.6844944560337772,0.5578604762050765
PF3D7_0113600,0.5385078752746774,0.6150189916978601,0.6629376362903994,0.3645156301079389,0.5983330328853796,0.5560500138682616,0.5602013227453945
