ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_1419800.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0313700.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_1342600,0.2948375548834431,0.0712968010986986,0.18318111014741742,0.2791530554006624,0.1256456755704977,0.15647503280126168,0.16481916055431903
PF3D7_0102200,0.41053355703437705,0.20038047229757802,0.18733655779921346,0.23820154878216754,0.37263923522176423,0.1634913752366534,0.2496394535251808
PF3D7_0935600,0.11711657119472452,0.21380332167552818,0.25425965885580315,0.21687062312517869,0.3139784421540083,0.18153539176512137,0.24972801145262957
PF3D7_1035700,0.2472192624519428,0.1316784849435682,0.36623861706425176,0.22641308968310778,0.29821036705843784,0.3355922647245433,0.2556351396873414
PF3D7_1332200,0.4940006857724991,0.2764587696011954,0.2883475837140331,0.24858096702538618,0.2546575511693774,0.14816798267551518,0.26701121787749804
PF3D7_0731500,0.4564704035722653,0.3321773892060074,0.4366929351349801,0.16903982636790546,0.19062406624214495,0.1951828581764455,0.2821335542377595
PF3D7_1301600,0.35873447496601557,0.23519437584708844,0.5145893771297352,0.17624547752186587,0.21421286606621143,0.37023493686444325,0.28506052414122524
PF3D7_0217500,0.4973353603009597,0.36316245473356645,0.47603710227595303,0.1512874843124167,0.17905737184255097,0.1634696446423644,0.29238610329112175
PF3D7_0113000,0.21551686846685902,0.2278694095665709,0.4897124489022436,0.17236825106981835,0.30204603964365034,0.429614880377679,0.2979990372955708
PF3D7_0608800,0.3839448030721331,0.3261794766385759,0.4249745667047112,0.29574448781529716,0.18127598847139176,0.36714962157418723,0.307043629907494
PF3D7_1133400,0.46710894149086685,0.3747602058884453,0.5798770770059213,0.16989640511383655,0.12251002543997934,0.24544817575283617,0.3117609283620456
PF3D7_1035400,0.41056664070549165,0.2875211696222276,0.4049779622142893,0.26497864722832704,0.2963854762177268,0.19897316769552226,0.31346581382064265
PF3D7_0808200,0.6365641708863927,0.34951001501928386,0.47281248108751794,0.32131888605425984,0.20608292696222075,0.205584301887922,0.33743107728082056
PF3D7_1251200,0.4188046460674234,0.4641639251668118,0.6021072051487258,0.08099133886150271,0.2053070620381285,0.1794998750866532,0.3381423828037922
PF3D7_1222700,0.46295229801643933,0.28094100230267244,0.5510350283386662,0.26406665921685507,0.26262729463523915,0.45703192983586843,0.3396674961233582
PF3D7_1149200,0.38221423769815543,0.29009121507646907,0.42100021959667694,0.1843586495539401,0.47385140389513064,0.33304467818882644,0.3423253720305542
PF3D7_0212600,0.5891894831802222,0.4162682970431511,0.4556239270156402,0.26535709376675715,0.2494288854523221,0.09481470507634454,0.34666955081946765
PF3D7_1036500,0.5189394420672768,0.47088184338464556,0.6274014022242688,0.08085589894326455,0.21686357834232464,0.24243376338417755,0.34900068072362594
PF3D7_0109000,0.5556882714941491,0.3546545696109506,0.6868576939959098,0.21375094073510123,0.1549492958488004,0.3570621660836438,0.3525531250476905
