sampleName,Genotype,Donor,Stage
AA13 Rings,AA,AA13,Ring
AA13 Trophozoites,AA,AA13,Trophozoite
AA13 Schizonts,AA,AA13,Schizont
AA17 Rings,AA,AA17,Ring
AA17 Trophozoites,AA,AA17,Trophozoite
AA17 Schizonts,AA,AA17,Schizont
AS18 Rings,AS,AS18,Ring
AS18 Trophozoites,AS,AS18,Trophozoite
AS18 Schizonts,AS,AS18,Schizont
AS19 Rings,AS,AS19,Ring
AS19 Trophozoites,AS,AS19,Trophozoite
AS19 Schizonts,AS,AS19,Schizont
