3D7_3,3D7_6,3D7_9,FUP_3,FUP_6,FUP_9
PF3D7_0507400,PF3D7_1311200,PF3D7_1406300,PF3D7_1436400,PF3D7_1314900,PF3D7_1242200
PF3D7_1417400,PF3D7_0510200,PF3D7_0511300,PF3D7_1149100.1,PF3D7_0400200,PF3D7_0927700
PF3D7_1438900,PF3D7_1337400,PF3D7_1236300,PF3D7_0804400,PF3D7_0830300,PF3D7_1233300
PF3D7_1469100,PF3D7_0918600,PF3D7_0915000,PF3D7_0509000,PF3D7_1359600,PF3D7_1345200
PF3D7_1468900,PF3D7_1478100,PF3D7_0619600,PF3D7_0416600,PF3D7_0805100,PF3D7_0404500
PF3D7_1115300,PF3D7_1343600,PF3D7_0614200,PF3D7_0417800,PF3D7_0424100,PF3D7_1107000
PF3D7_1473100,PF3D7_0521300,PF3D7_1216600,PF3D7_1318300,PF3D7_1022200,PF3D7_0605200
PF3D7_1312500,PF3D7_0310500,PF3D7_1431200,PF3D7_0822000,PF3D7_1367000,PF3D7_0716600
PF3D7_0422200,PF3D7_1344800,PF3D7_1354800,PF3D7_1455500,PF3D7_0721100,PF3D7_1201600
PF3D7_0520300,PF3D7_1205700,PF3D7_1311200,PF3D7_1027000,PF3D7_1358400,PF3D7_1314900
PF3D7_0904500,PF3D7_1474900,PF3D7_0510200,PF3D7_1018300,PF3D7_1435800,PF3D7_0218100
PF3D7_0602600,PF3D7_0316800,PF3D7_1337400,PF3D7_1025300,PF3D7_1311400,PF3D7_0400200
PF3D7_1436200,PF3D7_1112400,PF3D7_0918600,PF3D7_0511800,PF3D7_1368900,PF3D7_0830300
PF3D7_1465900,PF3D7_1230000,PF3D7_1478100,PF3D7_0813400,PF3D7_1138400,PF3D7_1359600
PF3D7_0409700,PF3D7_1342800,PF3D7_1343600,PF3D7_1365800,PF3D7_1425300,PF3D7_0805100
PF3D7_0107400,PF3D7_0321600,PF3D7_0521300,PF3D7_1346100,PF3D7_0220000,PF3D7_1367000
PF3D7_1036000,PF3D7_0508300,PF3D7_0310500,PF3D7_0522400,PF3D7_0105700,PF3D7_0721100
PF3D7_0520200,PF3D7_0919700,PF3D7_1344800,PF3D7_0707900,PF3D7_1205700,PF3D7_0622600
PF3D7_0204200,PF3D7_0528000,PF3D7_1205700,PF3D7_0216400,PF3D7_1228200,PF3D7_1358400
PF3D7_0619800,PF3D7_0924100,PF3D7_0316800,PF3D7_1471800,PF3D7_0410800,PF3D7_1435800
PF3D7_0713800,PF3D7_1123800,PF3D7_0612100,PF3D7_1443300,PF3D7_1011000,PF3D7_1311400
PF3D7_1211600,PF3D7_0628400,PF3D7_1230000,PF3D7_1472600,PF3D7_1338000,PF3D7_1327500
PF3D7_1308400,PF3D7_0106900,PF3D7_1342800,PF3D7_0823100,PF3D7_1006700,PF3D7_1368900
PF3D7_0731400,PF3D7_1342300,PF3D7_0321600,PF3D7_0413600,PF3D7_0508600,PF3D7_1138400
PF3D7_1006400,PF3D7_0112000,PF3D7_0518200,PF3D7_0514800,PF3D7_0801000,PF3D7_0105700
PF3D7_1324700,PF3D7_1333000,PF3D7_0508300,PF3D7_1243600,PF3D7_1447300,PF3D7_1205700
PF3D7_1458700,PF3D7_0306500,PF3D7_0919700,PF3D7_0523700,PF3D7_0932700,PF3D7_0410800
PF3D7_0323100,PF3D7_1110100,PF3D7_0528000,PF3D7_0908000,PF3D7_1444100,PF3D7_1021300
PF3D7_0624500,PF3D7_0105600,PF3D7_0924100,PF3D7_0520300,PF3D7_0310600.1,PF3D7_1006700
PF3D7_1447400,PF3D7_0205400,PF3D7_1123800,PF3D7_1236900,PF3D7_1118200,PF3D7_1435100
PF3D7_0607800,PF3D7_1442700,PF3D7_0628400,PF3D7_0303000,PF3D7_0415000,PF3D7_0508600
PF3D7_1218600,PF3D7_1231500,PF3D7_0106900,PF3D7_0524800,PF3D7_0206900.1,PF3D7_0801000
PF3D7_0926800,PF3D7_0823000,PF3D7_1342300,PF3D7_1303700,PF3D7_0318100,PF3D7_1447300
PF3D7_1021800,PF3D7_1147500,PF3D7_0112000,PF3D7_1145100,PF3D7_0426000,PF3D7_0932700
PF3D7_1326100,PF3D7_1120400,PF3D7_1028800,PF3D7_0313200,PF3D7_1435000,PF3D7_1444100
PF3D7_0530200,PF3D7_0715900,PF3D7_1333000,PF3D7_1465900,PF3D7_0623400,PF3D7_0920000
PF3D7_0210500,PF3D7_0502900,PF3D7_1110100,PF3D7_1316300,PF3D7_0210300,PF3D7_1118200
PF3D7_0807200,PF3D7_1103100,PF3D7_0105600,PF3D7_0409700,PF3D7_0709400,PF3D7_0415000
PF3D7_1324600,PF3D7_1427300,PF3D7_0205400,PF3D7_1334500,PF3D7_0918000,PF3D7_0206900.1
PF3D7_1001200,PF3D7_0320600,PF3D7_1442700,PF3D7_1313600,PF3D7_0919100,PF3D7_0426000
PF3D7_0801700,PF3D7_1200900,PF3D7_1231500,PF3D7_1251100,PF3D7_1427300,PF3D7_1443600
,PF3D7_1365400,PF3D7_0823000,PF3D7_1319100,PF3D7_0303400,PF3D7_1435000
,PF3D7_1432600,PF3D7_1147500,PF3D7_0912700,PF3D7_0519200,PF3D7_0210300
,PF3D7_1031900,PF3D7_0803600.1,PF3D7_0920100,PF3D7_1106300,PF3D7_0501800
,PF3D7_1232400,PF3D7_1120400,PF3D7_1206700,PF3D7_1003700,PF3D7_1111900
,PF3D7_0622500,PF3D7_0502900,PF3D7_0304100,PF3D7_0204100,PF3D7_0709400
,PF3D7_0832200.1,PF3D7_1103100,PF3D7_1332000,PF3D7_1010100,PF3D7_1436700
,PF3D7_1230700,PF3D7_1427300,PF3D7_0507700,PF3D7_1106000,PF3D7_1442700
,PF3D7_0602500,PF3D7_0320600,PF3D7_1231700,PF3D7_1113300,PF3D7_0500900
,PF3D7_1419400,PF3D7_1200900,PF3D7_0204200,PF3D7_1007700,PF3D7_0219600
,PF3D7_1216100,PF3D7_1365400,PF3D7_0321000,PF3D7_1209500.2,PF3D7_1330700
,PF3D7_0905000,PF3D7_1432600,PF3D7_0523300,PF3D7_1452200,PF3D7_1247500
,PF3D7_0420300,PF3D7_1031900,PF3D7_0919000,PF3D7_1225000,PF3D7_0316200
,PF3D7_0818900,PF3D7_1232400,PF3D7_1211600,PF3D7_1228000,PF3D7_0509100
,PF3D7_1225100,PF3D7_0622500,PF3D7_1135500,PF3D7_1311000,PF3D7_0919100
,PF3D7_1339600,PF3D7_0832200.1,PF3D7_1401500,PF3D7_0209500,PF3D7_1217000
,PF3D7_0221900,PF3D7_1230700,PF3D7_1252100,PF3D7_1229600,PF3D7_1231300
,PF3D7_0219900,PF3D7_0602500,PF3D7_1324700,PF3D7_1022700,PF3D7_1427300
,PF3D7_1320300,PF3D7_0219300,PF3D7_0831800,PF3D7_0104800,PF3D7_1470700
,PF3D7_0506800,PF3D7_1419400,PF3D7_1011200.1,PF3D7_0420400,PF3D7_0303400
,PF3D7_1429400,PF3D7_0420400,PF3D7_0214700,PF3D7_1339700,PF3D7_1106300
,PF3D7_1422700,PF3D7_0905000,PF3D7_1403100,PF3D7_0420300,PF3D7_1003700
,PF3D7_1429000,PF3D7_0420300,PF3D7_1470500,PF3D7_0814600,PF3D7_1440100
,PF3D7_0214200,PF3D7_0818900,PF3D7_1312800,PF3D7_1431600,PF3D7_0204100
,PF3D7_1111700,PF3D7_1225100,PF3D7_0631600,PF3D7_0815800,PF3D7_0620100
,PF3D7_1314000,PF3D7_1339600,PF3D7_1460500,PF3D7_0523900,PF3D7_0203800
,PF3D7_1336300,PF3D7_0221900,PF3D7_1369400,PF3D7_1368600,PF3D7_1106000
,PF3D7_1447500,PF3D7_0219900,PF3D7_0217300,PF3D7_0111600,PF3D7_1007700
,PF3D7_0824600,PF3D7_1409000,PF3D7_1353500,PF3D7_0300100,PF3D7_1452200
,PF3D7_0906910,PF3D7_0627400,PF3D7_0422700,PF3D7_0410400,PF3D7_1031900
,PF3D7_1318300,PF3D7_1320300,PF3D7_0907100,PF3D7_1436400,PF3D7_1225000
,PF3D7_1359700,PF3D7_0506800,PF3D7_1119100,PF3D7_1213600,PF3D7_1228000
,PF3D7_1470100,PF3D7_1429400,PF3D7_0219200,PF3D7_0522600,PF3D7_1234200
,PF3D7_1448300,PF3D7_1422700,PF3D7_1206000,PF3D7_1147300,PF3D7_0209500
,PF3D7_1355200,PF3D7_1476900,PF3D7_1349100,PF3D7_1336900,PF3D7_1325900
,PF3D7_0935100,PF3D7_1429000,,PF3D7_0804400,PF3D7_1022700
,PF3D7_0822000,PF3D7_0214200,,PF3D7_1467700,PF3D7_0420400
,PF3D7_1212000,PF3D7_1111700,,PF3D7_0416600,PF3D7_1142200
,PF3D7_0502100,PF3D7_1314000,,PF3D7_1204000,PF3D7_0420300
,PF3D7_1360400,PF3D7_1336300,,PF3D7_1028600,PF3D7_0814600
,PF3D7_1215100,PF3D7_1447500,,PF3D7_0105100,PF3D7_0601600
,PF3D7_0507400,PF3D7_0824600,,PF3D7_1318300,PF3D7_1431600
,PF3D7_1404400,PF3D7_0906910,,PF3D7_0809500,PF3D7_0815800
,PF3D7_1417400,PF3D7_1318300,,PF3D7_0503200,PF3D7_0523900
,PF3D7_1438900,PF3D7_1359700,,PF3D7_0822000,PF3D7_0618600
,PF3D7_1305100,PF3D7_1470100,,PF3D7_1455500,PF3D7_0111600
,PF3D7_0511400,PF3D7_1448300,,PF3D7_0316300.2,PF3D7_1124600
,PF3D7_1469100,PF3D7_1355200,,PF3D7_1027000,PF3D7_0504500
,PF3D7_1468900,PF3D7_0935100,,PF3D7_1018300,PF3D7_1213600
,PF3D7_1416100,PF3D7_1102700,,PF3D7_1025300,PF3D7_1220300
,PF3D7_1473100,PF3D7_1212000,,PF3D7_0511800,PF3D7_0511600
,PF3D7_1312500,PF3D7_0502100,,PF3D7_1212000,PF3D7_1336900
,PF3D7_1235500,PF3D7_1360400,,PF3D7_0813400,PF3D7_0804400
,PF3D7_0422200,PF3D7_1215100,,PF3D7_1365800,PF3D7_0416600
,PF3D7_0520300,PF3D7_0507400,,PF3D7_1337100,PF3D7_1434200
,PF3D7_0520400,PF3D7_1404400,,PF3D7_0522400,PF3D7_1228700
,PF3D7_0904500,PF3D7_1125500,,PF3D7_0707900,PF3D7_1110300
,PF3D7_0602600,PF3D7_1417400,,PF3D7_0216400,PF3D7_1031400.1
,PF3D7_0307200,PF3D7_1438900,,PF3D7_1443300,PF3D7_0613800
,PF3D7_1436200,PF3D7_1305100,,PF3D7_0320900,PF3D7_0707800
,PF3D7_1465900,PF3D7_0511400,,PF3D7_1472600,PF3D7_1339900
,PF3D7_0409700,PF3D7_1469100,,PF3D7_0823100,PF3D7_0105100
,PF3D7_0107400,PF3D7_1468900,,PF3D7_0514800,PF3D7_1318300
,PF3D7_1033400,PF3D7_1416100,,PF3D7_1243600,PF3D7_0911000
,PF3D7_1001500,PF3D7_1473100,,PF3D7_0523700,PF3D7_0503200
,PF3D7_1472100,PF3D7_1312500,,PF3D7_0205800,PF3D7_1034200
,PF3D7_1124700,PF3D7_1235500,,PF3D7_0908000,PF3D7_0822000
,PF3D7_1032300,PF3D7_0422200,,PF3D7_0520300,PF3D7_1455500
,PF3D7_1129800,PF3D7_0520300,,PF3D7_1312300,PF3D7_0316300.2
,PF3D7_0520200,PF3D7_0520400,,PF3D7_1236900,PF3D7_1027000
,PF3D7_0204200,PF3D7_0904500,,PF3D7_1332800,PF3D7_1025300
,PF3D7_0619800,PF3D7_0602600,,PF3D7_0524800,PF3D7_1139700
,PF3D7_0713800,PF3D7_0307200,,PF3D7_1303700,PF3D7_0511800
,PF3D7_1437400,PF3D7_1436200,,PF3D7_1145100,PF3D7_0820400
,PF3D7_1211600,PF3D7_1465900,,PF3D7_0313200,PF3D7_0813400
,PF3D7_1401500,PF3D7_0409700,,PF3D7_1316300,PF3D7_1365800
,PF3D7_1308400,PF3D7_1033400,,PF3D7_0409700,PF3D7_1337100
,PF3D7_0731400,PF3D7_1001500,,PF3D7_0916500,PF3D7_0522400
,PF3D7_1006400,PF3D7_1472100,,PF3D7_1252900,PF3D7_0707900
,PF3D7_1316200,PF3D7_1124700,,PF3D7_0509600,PF3D7_0216400
,PF3D7_1240900,PF3D7_1032300,,PF3D7_1251100,PF3D7_0215900
,PF3D7_1015700.1,PF3D7_1129800,,PF3D7_0420500,PF3D7_1443300
,PF3D7_1458700,PF3D7_0520200,,PF3D7_1319100,PF3D7_0320900
,PF3D7_0323100,PF3D7_0204200,,PF3D7_0912700,PF3D7_1440800
,PF3D7_0314800,PF3D7_0619800,,PF3D7_1206700,PF3D7_0731700
,PF3D7_1447400,PF3D7_0713800,,PF3D7_0304100,PF3D7_0930200
,PF3D7_0607800,PF3D7_1437400,,PF3D7_0507700,PF3D7_1428900
,PF3D7_1218600,PF3D7_1211600,,PF3D7_1032300,PF3D7_0823100
,PF3D7_0926800,PF3D7_1401500,,PF3D7_1231700,PF3D7_1409700
,PF3D7_1326100,PF3D7_1308400,,PF3D7_0523300,PF3D7_0809600
,PF3D7_0530200,PF3D7_0731400,,PF3D7_0919000,PF3D7_0514800
,PF3D7_0210500,PF3D7_0920300,,PF3D7_1211600,PF3D7_1243600
,PF3D7_0302800,PF3D7_1316200,,PF3D7_1135500,PF3D7_0523700
,PF3D7_0807200,PF3D7_1240900,,PF3D7_1401500,PF3D7_0218000
,PF3D7_1447700,PF3D7_0323100,,PF3D7_1252100,PF3D7_0205800
,PF3D7_1324600,PF3D7_0314800,,PF3D7_0731400,PF3D7_0908000
,PF3D7_1001200,PF3D7_1447400,,PF3D7_0831800,PF3D7_1327400
,PF3D7_0801700,PF3D7_0607800,,PF3D7_1011200.1,PF3D7_1312300
,PF3D7_0932300,PF3D7_1218600,,PF3D7_0214700,PF3D7_0611200
,,PF3D7_0926800,,PF3D7_1437700,PF3D7_1332800
,,PF3D7_1326100,,PF3D7_0418900,PF3D7_0524800
,,PF3D7_0530200,,PF3D7_1470500,PF3D7_1303700
,,PF3D7_1319000,,PF3D7_1312800,PF3D7_1145100
,,PF3D7_0210500,,PF3D7_0830400,PF3D7_0313200
,,PF3D7_0302800,,PF3D7_0631600,PF3D7_0409700
,,PF3D7_0807200,,PF3D7_1018500,PF3D7_0623000
,,PF3D7_1324600,,PF3D7_1460500,PF3D7_0916500
,,PF3D7_1001200,,PF3D7_0718100,PF3D7_1252900
,,PF3D7_0801700,,PF3D7_1469700,PF3D7_1203600
,,PF3D7_0932300,,PF3D7_1369400,PF3D7_0509600
,,,,PF3D7_0320800,PF3D7_1251100
,,,,PF3D7_1436300,PF3D7_1206700
,,,,PF3D7_0217300,PF3D7_0507700
,,,,PF3D7_1442200,PF3D7_1231700
,,,,PF3D7_1353500,PF3D7_1361700
,,,,PF3D7_0422700,PF3D7_0523300
,,,,PF3D7_1226500,PF3D7_0919000
,,,,PF3D7_1215200,PF3D7_1211600
,,,,PF3D7_0907100,PF3D7_1442400
,,,,PF3D7_1349100,PF3D7_1338800
,,,,PF3D7_1117600.2,PF3D7_1011200.1
,,,,,PF3D7_1316200
,,,,,PF3D7_1467900
,,,,,PF3D7_1241300
,,,,,PF3D7_1437700
,,,,,PF3D7_0418900
,,,,,PF3D7_0830400
,,,,,PF3D7_0631600
,,,,,PF3D7_1018500
,,,,,PF3D7_1460500
,,,,,PF3D7_0718100
,,,,,PF3D7_1369400
,,,,,PF3D7_0911200
,,,,,PF3D7_0728000
,,,,,PF3D7_0320800
,,,,,PF3D7_1436300
,,,,,PF3D7_1442200
,,,,,PF3D7_0525600
,,,,,PF3D7_1145600
,,,,,PF3D7_0422700
,,,,,PF3D7_1215200
,,,,,PF3D7_0907100
,,,,,PF3D7_1319000
,,,,,PF3D7_1226600
,,,,,PF3D7_1349100
