"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_0411500",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"PF3D7_0411600",0,1,3,1,2,1,0,3,0,1,0,4,0,2,0,6,3,8,0,0,3,0,0,0,1,0,0,2,1,2,0,0
"PF3D7_0411700",7,8,8,3,18,5,1,6,1,10,5,7,2,0,0,2,4,7,9,4,12,0,6,1,0,3,2,2,2,1,1,3
"PF3D7_0411800",2,0,54,9,1,3,0,45,4,1,2,2,0,0,1,55,4,2,6,0,0,5,0,0,1,0,2,0,20,1,2,3
"PF3D7_0411900",6,3,29,27,119,23,8,4,5,4,6,230,0,25,7,45,11,20,46,71,41,6,17,1,0,10,4,4,0,6,0,2
"PF3D7_0412000",11,0,197,97,1,19,13,7,0,0,0,5,0,3,2,88,0,0,2,0,2,16,3,7,1,0,1,0,13,1,2,8
"PF3D7_0412100",151,140,91,180,453,272,126,79,215,44,204,50,72,294,3,140,66,146,103,251,649,42,65,8,43,0,93,5,11,144,16,20
"PF3D7_0412200",99,124,27,73,156,119,83,33,95,36,44,91,49,92,2,94,29,104,55,266,364,9,65,2,64,3,36,6,28,55,13,18
"PF3D7_0412300",25,22,52,31,24,56,55,2,14,9,13,49,7,19,8,23,0,32,31,27,62,4,12,1,14,1,7,4,6,16,11,9
"PF3D7_0412400",116,733,1380,284,412,142,149,974,687,26,180,427,13,167,32,870,298,472,837,199,479,142,238,380,41,492,30,445,334,120,211,849
"PF3D7_0412500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0412600",0,0,0,1,5,1,0,0,4,0,10,0,0,0,0,0,5,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0412700",201,356,1035,517,775,184,235,392,511,58,294,1125,25,265,63,537,417,788,1086,419,909,252,251,76,22,1015,105,1329,556,233,397,3729
"PF3D7_0412800",0,0,0,7,7,0,0,0,0,0,0,2,0,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,3,0,2,0
"PF3D7_0412900",139,293,995,222,395,47,89,330,327,13,113,406,9,153,22,754,168,321,356,141,213,90,91,6,12,104,71,294,468,75,631,2740
"PF3D7_0413000",0,0,2,5,6,0,0,0,2,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,2,4
"PF3D7_0413100",109,172,1098,139,321,57,101,258,270,11,131,609,12,161,35,396,239,333,290,121,178,84,121,5,12,160,28,314,193,79,609,890
"PF3D7_0413200",0,0,2,7,2,20,2,0,1,0,3,4,0,2,0,2,1,0,1,0,9,1,0,0,0,0,0,0,3,0,0,1
"PF3D7_0413300",0,2,1,5,12,13,1,1,3,0,4,1,0,1,0,7,4,2,6,1,7,2,0,0,0,0,2,1,0,3,0,3
"PF3D7_0413400",0,8,7,0,9,53,0,1,14,1,12,2,1,4,0,6,7,3,0,0,3,2,2,0,0,0,0,2,0,15,0,2
"PF3D7_0413500",14,2,28,4,39,28,1,3,15,0,23,1,3,19,0,23,11,33,13,36,27,4,13,1,1,1,2,1,0,19,3,0
"PF3D7_0413600",767,1762,9531,4167,2245,3756,1952,2666,1836,391,941,3619,277,1726,283,11784,1573,2135,2741,1349,4724,891,1144,572,593,1290,700,1233,1674,935,1518,3270
"PF3D7_0413700",19,10,879,462,78,57,30,307,29,3,19,64,3,30,11,1482,4,20,57,33,67,109,21,79,25,109,5,81,149,6,128,354
"PF3D7_0413800",1,4,25,8,1,0,1,14,0,1,1,0,0,1,0,26,2,1,2,19,1,3,8,2,1,2,2,9,4,2,4,18
"PF3D7_0413900",447,710,4438,867,549,2192,486,251,797,116,313,1048,23,517,97,7317,200,523,902,1906,3378,181,745,73,73,373,303,306,353,107,440,851
"PF3D7_0414000",3,0,315,216,9,71,11,37,6,0,2,14,0,31,5,454,0,11,17,22,1,23,6,4,0,11,3,10,32,2,10,15
"PF3D7_0414100",9,0,333,336,1,20,2,30,0,0,0,5,0,1,9,321,0,0,3,2,0,46,3,8,0,11,0,13,18,4,4,20
"PF3D7_0414200.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0414200.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0414300",9,17,318,127,16,10,6,39,1,2,3,19,2,1,6,262,8,5,22,14,48,16,6,12,2,6,1,15,56,5,15,47
"PF3D7_0414400",10,3,42,6,27,1,5,2,4,0,3,0,1,3,0,28,4,11,3,3,6,0,5,0,0,0,7,1,5,3,3,3
"PF3D7_0414500",20,33,23,60,128,32,33,13,21,16,34,24,15,44,0,29,55,108,29,57,218,1,42,3,27,0,31,7,4,37,0,2
"PF3D7_0414600",1,0,174,58,3,8,1,46,0,0,0,1,0,5,4,131,0,0,0,0,1,14,0,16,0,1,0,9,10,1,0,2
"PF3D7_0414700",10,0,341,88,2,27,3,11,2,0,0,8,0,2,4,423,1,0,1,4,0,45,2,3,0,2,0,0,8,3,1,2
"PF3D7_0414800",8,0,644,52,0,6,0,28,0,0,1,0,0,0,8,397,3,2,0,0,0,18,0,6,1,5,1,5,19,2,8,0
"PF3D7_0414900",14,1,629,100,23,7,1,20,3,0,4,1,0,11,8,325,5,7,0,2,9,35,0,18,0,3,3,14,44,6,9,6
"PF3D7_0415000",426,881,2354,806,1137,979,744,776,663,173,527,911,263,901,72,2757,1413,986,624,1169,2152,161,465,106,234,220,236,374,806,933,368,591
"PF3D7_0415100",49,159,147,189,144,86,85,44,167,37,28,147,18,50,8,268,53,82,89,52,102,24,68,12,62,123,49,142,186,55,114,296
