"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_0731400",1,2,555.325,41,48,35,6,15,2,0,27,5,0,7,17,331,15,3,5,12,10,14,0,3,0,3,0,47,18,22,5,7
"PF3D7_0731500",481.082,924,129,453,2340,2574,647,246,811,477,2478,1007,163,901,37,115,2152,1722,710,2317,4100.109,71,1065,4,265,63,393,65,455,4902,29,66
"PF3D7_0731600",413.003,803,3832.975,1122.852,1972.008,3786.143,151,392,750.995,307,1271.228,1396,67,393.515,197,9128.044,223,752.001,122,3841.99,5496.97,683,477,219,113,585.958,39,508,739.205,80,875.006,1717.299
"PF3D7_0731700",17,61,182,25,123,166.032,22,14,89,18,141,37,6,32,7,394.003,31,69,48,419,481,29,37,5,10,18,12,22,14,8,40,68
"PF3D7_0731800",376.062,388.488,19.612,461.002,831.002,2938.05,716.003,96.002,456.001,405.014,846.059,796.019,76.003,339.101,8,137.022,930,237.037,350.015,822.111,3876.5,5,420.048,2,439.001,6,220.999,5,75.001,348.068,0,4.174
"PF3D7_0731900",1,11,4.388,0,111.644,2,7,0,16,8,97.008,8.001,2,225.941,0,1,23.065,33,5,291.085,61,2.475,8,0,0,0,15,15,3,992.922,0,0
"PF3D7_0732000",0,0,0,0,18.502,0,0,6.439,0,0,49.591,3.879,0,6.89,0,1,5.164,0,0,4,8.083,0,0,0,0,0,0,0,0,6.69,0,0
"PF3D7_0732100",0,4.517,5,4.447,0,2.648,0,0,0,0,589.278,1.007,0,0,0,22.241,2.378,16.98,5.108,66.644,135.563,7.924,18.996,0,0,6.567,0,0,5.104,4.395,0,7.175
"PF3D7_0732200",76.273,0,5.036,249.624,38.035,14.723,1.863,3.893,1.783,0,57.448,1.404,1,8.459,0,2.127,12.623,3.515,2.031,54.08,1.445,54.385,2.979,5.004,1.997,0,1.014,0,12.832,8.263,0,11.314
"PF3D7_0732300",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"PF3D7_0732400",0,0,0,8.227,0,36.453,1.001,7.915,0,0,19.024,15.023,2,1.081,3,0,4.906,3.99,0,1,0,1,0,0,0,0,3,0,0,6,0,1.278
"PF3D7_0732500",7.748,22.842,0,107.575,130.149,280.131,21.071,3.708,62.68,0,226.429,50.616,15.862,51.616,4.001,2.883,5.593,38.125,8.135,0,401.922,5.661,0,0,12.035,1.148,240.858,0.998,0,84.554,0,1.152
"PF3D7_0732600",0,0,0,0,9.814,0,0,0,1,0,3.701,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
