ORF,AA01,AA02,AA03,AA04,AA05,AA06,AA07,AA08,AA09,AA10,AA11,AA12,AA13,AA14,AA15,AA16,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11,AS12,AS13,AS14,AS15,AS16
PF3D7_0602500,19.0,24.0,627.082,150.0,141.0,217.0,31.0,81.0,39.0,43.0,100.0,56.0,0.0,11.0,7.0,414.0,7.0,47.0,50.0,53.0,131.0,66.0,32.0,42.0,6.0,16.0,12.0,17.0,19.0,24.011999999999997,4.0,235.0
PF3D7_0602600,1251.022,1357.2279999999998,5466.688,2304.194,4528.002,6058.008000000001,2643.948,397.001,1637.0220000000002,1357.059,6791.206999999999,3466.765,457.00300000000004,1981.451,197.0,5584.085,3975.42,1540.974,1137.085,5364.385,8366.201,436.00300000000004,1350.297,141.0,1140.0,373.225,995.211,461.004,872.054,4085.27,733.664,1134.003
PF3D7_0602700,103.369,234.0,189.0,153.0,490.426,667.0060000000001,184.0,69.0,107.0,214.0,513.0,214.0,36.0,174.0,9.0,586.992,381.0,235.0,115.82799999999999,773.0,717.0,41.0,165.0,6.0,91.0,51.0,81.0,162.0,60.0,192.0,39.0,55.0
PF3D7_0602800,212.0,268.059,131.046,137.011,805.378,730.596,276.0,39.008,205.051,232.037,826.294,374.39300000000003,61.0,344.36699999999996,6.0,117.32700000000001,525.044,305.694,164.826,1146.002,1543.8970000000002,14.0,377.39,5.01,248.095,15.0,133.0,7.0,43.0,434.00199999999995,24.0,49.034
PF3D7_0602900,432.0,992.0,233.96900000000002,804.0,2806.0,3026.009,1128.0,289.0,833.0,641.0,2528.005,1275.0,247.0,921.174,35.0,518.0,1696.114,875.0419999999999,741.0,1279.048,3274.7740000000003,29.0,661.9889999999999,8.0,413.0,54.0,698.0,58.0,224.0,1165.0,47.0,131.0
PF3D7_0603000,492.289,235.907,483.221,302.264,1352.753,1493.1029999999998,739.0210000000001,79.116,444.464,288.128,2015.412,468.846,77.97800000000001,467.597,33.27,852.612,785.525,371.29699999999997,313.961,1793.19,2123.519,56.95,423.13599999999997,13.081,214.024,65.232,158.94899999999998,26.723000000000003,97.631,832.076,60.187,119.175
PF3D7_0603100,0.0,1.005,2.002,1.001,1.329,0.0,0.0,0.0,0.0,0.0,1.002,0.0,0.0,0.0,0.0,5.901,0.0,2.004,0.0,1.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0603200,1.0,0.0,0.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
PF3D7_0603300,39.0,330.0,2555.178,1231.0,250.0,648.0,165.0,813.0,112.0,87.0,131.0,536.0,2.0,66.0,49.0,3084.0170000000003,92.0,227.0,249.0,163.0,935.0,271.0,81.0,189.0,9.0,111.0,60.0,193.0,459.0,66.0,117.0,1347.0
PF3D7_0603400,235.0,181.0,4815.544,1645.0,569.0,2274.106,355.0,304.0,255.0,366.0,208.0,949.0,9.0,101.0,127.0,6512.313,897.0,34.0,198.0,755.0,486.0,937.0,257.0,153.0,211.0,154.0,46.0,133.0,334.0,207.0,199.0,1057.0
