"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_1465000",21.602441,3.848376,5.856168,1.895496,32.177868,7.296501,3.510971,8.157068,12.090217,6.492064,27.955791,1.484933,11.919551,19.067419,3.343928,5.714609,8.08482,24.08678,3.593433,20.638512,10.254358,3.763277,5.070436,0.955692,2.496804,0.729449,20.365144,10.969027,4.604001,22.992475,5.095404,0.596306
"PF3D7_1465100",1.880726,0.706574,0.615383,0.231008,4.472292,0.392666,0.31333,0.366197,1.305006,0.629571,3.002584,0.597844,0.910392,1.537072,0.842584,1.073115,0.786694,2.271944,0.330505,4.052238,0.915362,0.085344,0.887596,0,0.303793,0.543474,2.1144,0.537705,0.26337,5.039997,0.169268,0.23334
"PF3D7_1465200",64.417443,43.533906,43.393318,21.841518,23.907451,78.991127,49.024716,13.460348,36.227487,42.381225,31.005352,43.791714,9.810865,24.519581,44.853618,46.266437,17.739904,17.2828,27.626758,76.688802,76.723977,37.452712,39.897863,16.224484,45.507868,27.200874,44.077995,20.447594,15.199961,32.337934,19.2459,20.757069
"PF3D7_1465300",39.53556,12.083968,20.648192,8.1059,16.076237,24.240986,23.934157,4.44577,18.716598,16.216697,26.929358,16.507211,9.005408,20.592401,21.592551,31.543486,15.422141,10.779825,8.844664,73.30661,38.270522,18.475684,26.399979,4.323013,20.515503,13.469926,14.520245,7.117115,5.621405,21.701775,11.357584,6.642861
"PF3D7_1465400",768.427213,797.685142,848.780394,644.968769,1104.940048,1104.781325,790.320122,793.819333,774.526104,799.670013,810.638859,584.929623,673.770886,677.918894,664.786595,1395.175375,650.543872,789.648993,788.847837,763.302671,1129.852544,646.630867,652.433027,954.629914,682.281233,1323.602251,877.646681,1375.613631,871.758219,555.231836,1649.861216,1397.588949
"PF3D7_1465500",3.788685,0.439221,0.338804,0.370092,6.013817,0.263913,0.443569,0.281879,2.156018,0.88027,3.309005,0.080016,1.895858,1.272601,1.12008,0.435974,1.671407,1.726932,0.359349,2.80897,0.755191,0.242775,0.554214,0,0.301454,0.412056,3.528587,0.610425,0.465237,6.459157,0.450805,0.113953
"PF3D7_1465600",0.274222,0.593737,0.060726,0.337001,1.956745,0.95981,0.494003,0.051364,0.677776,0,0.436609,1.200788,0,0.18181,0,0.695847,0.300986,1.059172,0.175396,1.965078,0.348524,0,0.173979,0,0,0,0.502156,0.175677,0.153562,0.462586,0,0
"PF3D7_1465700",0,0,0,0,0,0.059064,0,0,0,0,0,0,0,0,0,0.279602,0,0,0,0.057701,0,0,0,0,0,0,0,0.352005,0,0,0,0
"PF3D7_1465800",0,0.0041,0.015658,0.019573,0.06761,0.099099,0.015202,0.003183,0.004674,0,0.06303,0.066725,0,0.019889,0.050574,0.033037,0.015501,0.014767,0.003687,0.106288,0.002637,0.146354,0.00541,0,0,0.141434,0.015626,0.016384,0,0.00647,0,0.008188
"PF3D7_1465900",1204.421898,1262.986101,2461.741966,2188.982972,1196.093221,1600.823807,1275.918004,2083.258408,1573.820323,1035.836184,1401.113651,1429.219772,1215.823093,1418.938686,1980.453413,1806.789608,705.709758,1256.003457,1218.047917,1184.340146,1270.252615,1673.84021,883.559117,2618.569996,1242.869237,2224.256445,1591.385119,2451.691248,1897.52727,989.040743,2363.791429,2504.732122
