ORF,AA01,AA02,AA03,AA04,AA05,AA06,AA07,AA08,AA09,AA10,AA11,AA12,AA13,AA14,AA15,AA16,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11,AS12,AS13,AS14,AS15,AS16
PF3D7_1026300,0.052502999999999994,0.050757,0.950792,1.124076,0.065589,0.262301,0.047205000000000004,0.11832999999999999,0.0,0.036708,0.09546900000000001,0.079676,0.152675,0.071252,0.424597,0.9201459999999999,0.0743,0.0,0.022709,0.10288399999999999,0.072602,0.7090569999999999,0.033477,0.268909,0.343559,0.06839400000000001,0.048336000000000004,0.202796,0.03982,0.081717,0.128071,0.44116000000000005
PF3D7_1026400,0.0,0.101747,0.035429,0.021737,0.22151700000000002,0.069314,0.142515,0.0,0.0,0.073155,0.10561300000000001,0.0,0.0,0.14117000000000002,0.0,0.093087,0.0,0.0,0.0,0.576835,0.11158599999999999,0.128674,0.0,0.0,0.0,0.0,0.096841,0.20323,0.0,0.079516,0.0,0.0
PF3D7_1026500,0.0,0.0,0.263795,0.0,1.3639370000000002,0.0,0.0,0.0,0.0,0.0,2.056479,0.0,0.0,4.158131,0.0,1.213393,0.0,0.0,0.0,6.285716000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_1026600,5.741389,2.304991,6.494146,2.0360400000000003,11.059402,8.861398,3.400753,0.799998,10.979987,5.4404900000000005,17.174466,1.6788720000000001,1.918252,9.955364,5.345902,12.179086,11.432289,2.98727,2.770362,32.346940999999994,14.798368,6.986117,6.146279,0.520304,7.224292999999999,2.0289599999999997,5.761315,0.87093,1.247115,14.049775,1.434852,0.43115200000000004
PF3D7_1026800,2331.3093120000003,2753.792177,2210.678303,2666.7049629999997,2102.749621,2294.1734920000004,2349.624016,1925.5449260000003,2568.431843,2892.4343510000003,2090.5872050000003,2772.033219,1830.817371,2203.3810780000003,2431.252117,1925.1868940000002,2895.780327,2569.17282,2558.456812,2209.421717,1633.17362,2659.564208,2665.866873,2548.090097,2046.843855,1888.6001210000002,2033.175909,2440.822796,1807.3751329999998,1924.72965,1761.8828230000001,2581.420107
PF3D7_1026900,10.623757000000001,3.933249,6.087823,1.0634860000000002,13.140495999999999,9.56757,3.9556379999999995,1.782815,12.90155,2.180361,11.366226,1.176809,3.4174089999999997,9.410338000000001,4.130473,4.729133999999999,4.935582,8.147172,5.764172,12.876184,4.159721,5.064407,7.858045,0.883656,3.168221,3.7098129999999996,8.197659,4.051645,2.033842,10.638588,2.464341,0.797324
PF3D7_1027000,2.888436,0.534571,1.207327,0.127183,9.063872,1.026723,1.744389,0.08794500000000001,3.396403,2.150905,8.3569,0.117769,0.503869,8.986415,2.936162,1.8412959999999998,4.129716,2.070278,0.77187,20.157717,2.5999939999999997,0.639544,3.5047449999999998,0.060953,0.464316,1.5673540000000001,1.263247,0.35134299999999996,0.452183,5.8635589999999995,0.349088,0.5025649999999999
PF3D7_1027100,110.018648,39.085669,80.988085,38.855526,98.172332,139.215124,97.79609599999999,12.304528,80.825786,105.159252,152.26218300000002,59.623166000000005,35.586462,148.388936,68.772237,118.640676,93.48241,29.102558000000002,49.865024,371.889569,189.078946,68.17227,109.096276,21.749245000000002,99.665032,65.871589,57.878762,19.032316,14.617256,113.35686899999999,42.588559000000004,25.667266
PF3D7_1027200,24.935504,15.643475,23.443607,21.839367000000003,27.182244,29.365069000000002,21.43509,16.188391,49.882162,26.142881,26.545002,17.199137,30.586852,24.902668,29.654459000000003,19.304876999999998,16.188275,17.320355,28.03114,22.817849,26.439902000000004,12.402258,12.313197,22.803888,37.429967,27.652343,43.158141,22.363598,13.23909,22.889088,34.122337,22.30815
PF3D7_1027300,806.274809,397.990763,96.979495,162.926218,748.86369,726.108892,422.93377300000003,47.088788,434.194554,538.561817,919.155882,181.887153,136.17753100000002,571.662105,157.636731,157.150649,668.5358980000001,188.577774,434.440116,1141.652584,978.2654759999999,75.114358,922.076981,22.547982,409.405658,291.012804,217.296639,31.422976000000002,42.790855,734.304891,80.17734499999999,61.65270699999999
PF3D7_1027400,247.27908399999998,409.406467,294.155733,273.22312200000005,119.276908,399.79727599999995,307.696426,271.44464,143.552359,180.567735,117.83266200000001,396.82592400000004,162.240906,159.518012,252.44678100000002,199.919682,154.80607,187.752946,316.673268,124.155624,185.803403,209.464085,140.585068,323.800139,199.657227,173.014873,153.431687,179.892086,234.42659700000002,140.58651,232.66920299999998,287.06735299999997
PF3D7_1027500,25.87602,1.2822129999999998,110.748994,19.171119,16.919501,4.58475,4.857009,17.592232,1.386348,1.7603630000000001,5.39152,2.642371,10.153689,4.960794,0.0,71.06819899999999,1.9866119999999998,8.131886,7.225217999999999,13.461070000000001,12.375812,11.564358,8.118348,29.235090000000003,2.76703,16.280553,28.872829,11.597472999999999,36.231991,14.963583999999999,33.972136,7.278613000000001
PF3D7_1027600,0.6610090000000001,0.21101399999999998,0.593493,0.8451350000000001,2.19863,2.034986,0.198764,0.246894,3.13408,0.453788,2.376729,3.108993,0.0,1.428231,1.7292029999999998,1.881177,0.17364100000000002,1.184939,0.092645,4.519881,0.449342,0.528958,1.251636,0.0,0.0,0.281408,1.404204,3.651551,1.052958,2.6910529999999997,0.689071,0.615527
